@relation allSongsAllFieldsRankClassWithDatePOS

@attribute IS_EXPLICIT {TRUE, FALSE}
@attribute WEEK date "yyyy-MM-dd"
@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute VERBS_FRQ real
@attribute CONJUNCTIONS_FRQ real
@attribute ADJECTIVES_FRQ real
@attribute PRONOUNS_FRQ real
@attribute NUMBERS_FRQ real
@attribute NOUNS_FRQ real
@attribute TOS_FRQ real
@attribute PREPOSITIONS_FRQ real
@attribute ADVERBS_FRQ real
@attribute INTERJECTIONS_FRQ real
@attribute OTHERS_FRQ real
@attribute FOREIGNS_FRQ real
@attribute INTERROGATIVES_FRQ real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
FALSE,"1988-01-16",227,38,8,3,26.431719 real, 2.2026432 real, 3.9647577 real, 20.264317 real, 0.0 real, 20.704845 real, 6.6079297 real, 9.2511015 real, 2.2026432 real, 0.0 real, 8.370044 real, 0.0 real, 0.0 real, 1-10
TRUE,"1990-03-31",557,146,14,3,22.441652 real, 8.078995 real, 4.3087974 real, 8.438061 real, 0.17953321 real, 21.543985 real, 3.9497306 real, 7.360862 real, 10.05386 real, 3.9497306 real, 7.540395 real, 0.0 real, 2.1543987 real, 41-50
TRUE,"2000-01-22",598,127,10,3,29.598661 real, 0.6688963 real, 1.8394649 real, 23.076923 real, 0.0 real, 11.204014 real, 5.016722 real, 8.026756 real, 8.695652 real, 0.8361204 real, 8.695652 real, 0.0 real, 2.3411372 real, 31-40
TRUE,"1999-12-25",598,127,10,3,29.598661 real, 0.6688963 real, 1.8394649 real, 23.076923 real, 0.0 real, 11.204014 real, 5.016722 real, 8.026756 real, 8.695652 real, 0.8361204 real, 8.695652 real, 0.0 real, 2.3411372 real, 41-50
TRUE,"2010-06-19",945,230,10,3,23.492064 real, 1.5873016 real, 3.915344 real, 26.243385 real, 0.31746033 real, 17.671957 real, 1.3756614 real, 9.206349 real, 5.820106 real, 0.0 real, 6.4550266 real, 0.0 real, 3.915344 real, 31-40
TRUE,"1999-12-25",591,214,9,3,19.458546 real, 2.7072759 real, 4.0609136 real, 23.011845 real, 0.0 real, 25.71912 real, 1.0152284 real, 9.30626 real, 5.4145517 real, 0.33840948 real, 8.798646 real, 0.0 real, 0.33840948 real, 31-40
FALSE,"1997-08-02",302,84,10,3,9.933775 real, 0.66225165 real, 4.3046355 real, 8.940397 real, 0.33112583 real, 32.781456 real, 0.33112583 real, 18.874172 real, 1.6556292 real, 6.291391 real, 13.907285 real, 0.0 real, 2.3178809 real, 1-10
TRUE,"2002-06-29",673,149,13,3,23.774145 real, 2.228826 real, 2.9717681 real, 14.710253 real, 1.9316493 real, 22.139673 real, 6.835067 real, 7.4294205 real, 3.8632987 real, 0.0 real, 13.07578 real, 0.1485884 real, 0.89153045 real, 31-40
FALSE,"1998-08-15",306,85,9,3,28.431372 real, 1.9607843 real, 1.9607843 real, 25.816994 real, 1.633987 real, 14.052288 real, 1.633987 real, 7.8431373 real, 6.2091503 real, 0.6535948 real, 9.803922 real, 0.0 real, 0.3267974 real, 21-30
FALSE,"2008-10-18",365,107,9,4,21.643835 real, 1.6438357 real, 5.7534246 real, 9.863013 real, 1.369863 real, 18.082191 real, 4.3835616 real, 13.69863 real, 7.1232877 real, 0.2739726 real, 13.972603 real, 0.0 real, 2.1917808 real, 1-10
FALSE,"2008-07-05",322,85,10,3,28.571428 real, 0.310559 real, 1.8633541 real, 23.291925 real, 0.0 real, 13.975155 real, 7.4534163 real, 8.074534 real, 3.4161491 real, 1.552795 real, 9.316771 real, 0.0 real, 2.173913 real, 21-30
FALSE,"2002-09-28",363,74,8,3,24.517906 real, 1.6528926 real, 2.7548208 real, 15.977962 real, 0.5509642 real, 17.355371 real, 0.5509642 real, 12.396694 real, 9.641873 real, 0.0 real, 13.498623 real, 0.0 real, 1.1019284 real, 1-10
FALSE,"2007-09-08",350,113,13,4,25.142857 real, 4.0 real, 5.714286 real, 18.0 real, 0.0 real, 11.714286 real, 3.7142856 real, 10.857142 real, 10.285714 real, 0.0 real, 6.285714 real, 0.0 real, 4.285714 real, 31-40
FALSE,"1980-12-27",144,78,9,3,22.916666 real, 2.0833333 real, 8.333333 real, 18.75 real, 0.0 real, 15.972222 real, 1.3888888 real, 9.722222 real, 8.333333 real, 0.0 real, 12.5 real, 0.0 real, 0.0 real, 41-50
TRUE,"1999-11-13",780,293,13,4,22.051283 real, 2.9487178 real, 5.0 real, 14.743589 real, 0.3846154 real, 20.641026 real, 1.6666666 real, 12.692307 real, 10.128205 real, 0.12820514 real, 7.4358974 real, 0.0 real, 2.1794872 real, 21-30
FALSE,"2000-12-09",336,93,9,3,27.083334 real, 3.2738094 real, 1.7857143 real, 23.214285 real, 0.29761904 real, 11.607142 real, 0.29761904 real, 10.416667 real, 9.821428 real, 0.29761904 real, 9.523809 real, 0.0 real, 2.3809524 real, 1-10
FALSE,"2000-06-10",458,167,11,4,23.362446 real, 4.366812 real, 2.6200874 real, 15.502183 real, 0.2183406 real, 15.502183 real, 0.8733624 real, 10.262009 real, 10.262009 real, 0.0 real, 14.19214 real, 0.0 real, 2.838428 real, 31-40
TRUE,"1995-06-03",593,135,10,3,23.440134 real, 2.1922429 real, 7.757167 real, 23.271502 real, 0.0 real, 15.177066 real, 2.529511 real, 9.9494095 real, 7.757167 real, 0.0 real, 7.925801 real, 0.0 real, 0.0 real, 41-50
FALSE,"1986-04-12",250,45,10,4,32.0 real, 1.2 real, 6.0 real, 0.4 real, 0.0 real, 40.4 real, 8.8 real, 3.2 real, 1.2 real, 0.0 real, 6.8 real, 0.0 real, 0.0 real, 41-50
FALSE,"1986-05-17",298,103,11,3,21.81208 real, 1.3422819 real, 6.3758388 real, 18.120806 real, 0.0 real, 15.100671 real, 5.704698 real, 12.416107 real, 5.033557 real, 0.0 real, 12.416107 real, 0.0 real, 1.6778524 real, 1-10
TRUE,"2008-12-06",621,180,12,3,20.772947 real, 1.6103059 real, 7.729469 real, 18.679548 real, 1.2882447 real, 15.942029 real, 4.1867957 real, 7.246377 real, 13.204509 real, 0.0 real, 7.729469 real, 0.0 real, 1.6103059 real, 21-30
FALSE,"2011-01-08",386,121,10,3,18.65285 real, 2.0725389 real, 4.1450777 real, 20.72539 real, 0.0 real, 20.466322 real, 0.77720207 real, 11.658031 real, 4.6632123 real, 0.25906736 real, 14.766839 real, 0.0 real, 1.8134716 real, 1-10
FALSE,"2006-01-21",839,280,11,3,21.93087 real, 2.9797378 real, 5.4827175 real, 17.997616 real, 1.0727056 real, 28.96305 real, 0.71513706 real, 6.4362335 real, 1.5494636 real, 0.11918951 real, 8.104887 real, 0.0 real, 4.648391 real, 1-10
TRUE,"2005-06-25",669,202,10,3,18.086697 real, 2.2421525 real, 8.96861 real, 15.844544 real, 0.74738413 real, 29.147982 real, 0.5979073 real, 13.751868 real, 4.633782 real, 0.0 real, 5.0822124 real, 0.44843048 real, 0.44843048 real, 1-10
TRUE,"2002-08-10",589,266,12,4,14.26146 real, 1.5280136 real, 4.0747027 real, 11.5449915 real, 0.84889644 real, 31.578947 real, 1.3582343 real, 14.091681 real, 4.9235992 real, 0.16977929 real, 11.714771 real, 0.0 real, 3.9049237 real, 21-30
FALSE,"1990-11-17",356,158,16,4,18.258427 real, 1.1235955 real, 3.9325843 real, 7.8651686 real, 0.28089887 real, 30.337078 real, 2.8089888 real, 12.64045 real, 2.8089888 real, 0.0 real, 18.820225 real, 0.0 real, 1.1235955 real, 1-10
FALSE,"1994-03-26",340,87,10,4,18.82353 real, 1.4705882 real, 6.470588 real, 13.823529 real, 0.0 real, 23.235294 real, 1.7647059 real, 15.294118 real, 5.2941175 real, 1.4705882 real, 9.705882 real, 0.0 real, 2.6470587 real, 11-20
FALSE,"1988-10-22",172,68,9,3,20.348837 real, 1.744186 real, 7.5581393 real, 18.023256 real, 0.0 real, 19.767443 real, 2.9069767 real, 10.4651165 real, 5.2325583 real, 1.1627907 real, 9.883721 real, 0.0 real, 2.9069767 real, 1-10
TRUE,"1991-11-16",129,68,12,3,22.48062 real, 2.3255813 real, 6.976744 real, 16.27907 real, 0.0 real, 16.27907 real, 2.3255813 real, 8.527132 real, 12.403101 real, 0.0 real, 8.527132 real, 0.0 real, 3.875969 real, 41-50
FALSE,"2001-06-16",303,139,10,3,25.742575 real, 5.610561 real, 4.620462 real, 17.491749 real, 0.330033 real, 21.452145 real, 1.980198 real, 8.580858 real, 5.280528 real, 0.330033 real, 5.610561 real, 0.0 real, 2.970297 real, 21-30
FALSE,"1981-01-10",363,91,9,3,22.865013 real, 5.23416 real, 4.958678 real, 17.07989 real, 1.6528926 real, 17.355371 real, 4.4077134 real, 9.641873 real, 4.958678 real, 1.1019284 real, 10.46832 real, 0.0 real, 0.2754821 real, 1-10
FALSE,"1981-03-21",303,170,10,3,14.19142 real, 1.650165 real, 4.620462 real, 13.20132 real, 0.660066 real, 29.70297 real, 2.970297 real, 15.511551 real, 3.30033 real, 0.0 real, 13.861386 real, 0.0 real, 0.330033 real, 21-30
TRUE,"2014-09-13",977,350,14,3,20.9826 real, 3.7871034 real, 6.345957 real, 14.022518 real, 0.10235415 real, 20.26612 real, 3.0706244 real, 10.951894 real, 7.16479 real, 0.0 real, 11.258956 real, 0.0 real, 2.047083 real, 21-30
FALSE,"1982-10-23",194,66,11,3,16.494844 real, 5.670103 real, 2.5773196 real, 18.041237 real, 0.0 real, 17.01031 real, 6.7010307 real, 6.185567 real, 15.463918 real, 0.0 real, 11.340206 real, 0.0 real, 0.5154639 real, 11-20
FALSE,"1991-07-06",322,58,9,2,6.21118 real, 1.552795 real, 0.93167704 real, 6.521739 real, 0.0 real, 42.236023 real, 0.310559 real, 4.037267 real, 3.7267082 real, 0.621118 real, 12.111801 real, 0.0 real, 21.73913 real, 1-10
TRUE,"2011-01-29",485,232,15,4,17.113401 real, 2.0618556 real, 7.010309 real, 11.340206 real, 0.41237113 real, 27.628866 real, 1.0309278 real, 12.371134 real, 5.3608246 real, 0.0 real, 13.814433 real, 0.20618556 real, 1.6494845 real, 21-30
TRUE,"2014-11-08",331,107,10,3,20.543806 real, 1.8126888 real, 3.9274924 real, 16.012085 real, 0.0 real, 26.283987 real, 6.344411 real, 6.646526 real, 4.833837 real, 1.510574 real, 10.876133 real, 0.3021148 real, 0.9063444 real, 1-10
TRUE,"1984-12-08",252,114,10,3,26.587301 real, 2.3809524 real, 1.5873016 real, 17.063492 real, 0.0 real, 16.269842 real, 3.1746032 real, 8.333333 real, 4.3650794 real, 0.0 real, 17.063492 real, 0.0 real, 3.1746032 real, 41-50
FALSE,"2011-06-04",670,107,13,3,16.865671 real, 2.5373135 real, 8.656716 real, 18.80597 real, 0.0 real, 22.835821 real, 2.0895522 real, 10.149254 real, 8.208955 real, 1.641791 real, 7.3134327 real, 0.0 real, 0.8955224 real, 11-20
FALSE,"2009-12-05",341,109,11,3,15.835777 real, 1.1730205 real, 4.398827 real, 16.422287 real, 0.0 real, 27.272728 real, 2.346041 real, 14.369501 real, 4.398827 real, 1.1730205 real, 12.02346 real, 0.0 real, 0.58651024 real, 21-30
FALSE,"1980-01-05",291,69,12,3,18.213058 real, 2.0618556 real, 4.467354 real, 17.869415 real, 0.34364262 real, 21.305841 real, 2.0618556 real, 6.185567 real, 4.467354 real, 2.0618556 real, 18.213058 real, 0.0 real, 2.749141 real, 31-40
FALSE,"2010-03-20",285,62,9,4,20.350878 real, 5.263158 real, 5.263158 real, 11.22807 real, 0.3508772 real, 17.54386 real, 0.3508772 real, 9.122807 real, 18.947369 real, 0.0 real, 11.578947 real, 0.0 real, 0.0 real, 41-50
TRUE,"2013-02-23",305,105,13,3,21.967213 real, 1.6393442 real, 3.2786884 real, 14.098361 real, 0.0 real, 26.229507 real, 0.32786885 real, 9.836065 real, 2.2950819 real, 0.0 real, 19.67213 real, 0.0 real, 0.6557377 real, 21-30
FALSE,"2010-02-13",150,88,13,4,15.333333 real, 6.0 real, 6.0 real, 15.333333 real, 0.0 real, 26.666666 real, 2.0 real, 6.6666665 real, 6.0 real, 0.0 real, 14.0 real, 0.0 real, 2.0 real, 11-20
FALSE,"2010-06-12",154,89,11,4,16.233767 real, 5.844156 real, 4.5454545 real, 14.285714 real, 0.0 real, 31.16883 real, 1.9480519 real, 7.7922077 real, 3.2467532 real, 0.0 real, 12.987013 real, 0.0 real, 1.9480519 real, 41-50
FALSE,"2013-11-30",355,165,11,4,18.87324 real, 4.2253523 real, 4.2253523 real, 13.802817 real, 0.0 real, 29.014084 real, 2.2535212 real, 7.887324 real, 5.352113 real, 0.0 real, 12.394366 real, 0.0 real, 1.971831 real, 31-40
FALSE,"2015-05-09",189,110,13,4,24.338625 real, 3.7037036 real, 5.820106 real, 12.698413 real, 0.52910054 real, 20.63492 real, 1.0582011 real, 12.698413 real, 7.4074073 real, 0.0 real, 9.523809 real, 0.0 real, 1.5873016 real, 31-40
FALSE,"2009-05-23",413,110,10,3,22.033897 real, 2.905569 real, 1.2106538 real, 24.213076 real, 0.24213076 real, 21.791767 real, 0.968523 real, 9.200969 real, 5.5690074 real, 0.0 real, 11.864407 real, 0.0 real, 0.0 real, 1-10
FALSE,"2009-10-24",213,77,10,3,20.187794 real, 1.8779342 real, 2.3474178 real, 19.248827 real, 0.0 real, 28.169014 real, 0.46948355 real, 9.389671 real, 4.6948357 real, 0.46948355 real, 12.676056 real, 0.0 real, 0.46948355 real, 31-40
FALSE,"1983-01-22",354,107,21,3,18.926554 real, 3.1073446 real, 5.9322033 real, 3.6723163 real, 2.8248587 real, 24.576271 real, 12.4293785 real, 4.80226 real, 4.237288 real, 0.0 real, 18.926554 real, 0.0 real, 0.56497175 real, 11-20
FALSE,"1988-12-10",173,87,14,4,24.855492 real, 5.780347 real, 9.248555 real, 10.982659 real, 0.0 real, 20.809248 real, 4.0462427 real, 12.716763 real, 6.3583813 real, 0.0 real, 5.202312 real, 0.0 real, 0.0 real, 41-50
FALSE,"2008-08-09",481,183,13,3,16.008316 real, 3.7422037 real, 3.7422037 real, 14.760915 real, 0.6237006 real, 22.245323 real, 2.4948025 real, 11.642411 real, 2.0790021 real, 0.0 real, 21.621622 real, 0.0 real, 1.0395011 real, 31-40
FALSE,"1999-01-23",18,18,14,5,22.222221 real, 0.0 real, 0.0 real, 11.111111 real, 0.0 real, 27.777779 real, 5.5555553 real, 11.111111 real, 5.5555553 real, 0.0 real, 16.666666 real, 0.0 real, 0.0 real, 1-10
FALSE,"2002-03-23",366,137,11,4,20.765028 real, 9.016394 real, 5.7377048 real, 15.5737705 real, 0.5464481 real, 15.027323 real, 3.8251367 real, 10.655738 real, 5.7377048 real, 0.0 real, 12.295082 real, 0.0 real, 0.8196721 real, 21-30
FALSE,"1999-05-22",170,96,8,4,14.117647 real, 3.5294118 real, 11.764706 real, 11.764706 real, 1.7647059 real, 27.058823 real, 1.1764706 real, 11.176471 real, 3.5294118 real, 0.5882353 real, 10.588235 real, 0.0 real, 2.9411764 real, 41-50
FALSE,"1984-12-01",208,101,10,4,21.153847 real, 1.9230769 real, 3.3653846 real, 17.307692 real, 1.4423077 real, 16.346153 real, 2.4038463 real, 7.2115383 real, 10.096154 real, 0.96153843 real, 12.5 real, 0.0 real, 5.2884617 real, 41-50
FALSE,"1988-08-06",208,85,12,4,20.673077 real, 1.4423077 real, 5.2884617 real, 24.51923 real, 0.0 real, 21.153847 real, 1.4423077 real, 6.25 real, 10.096154 real, 0.0 real, 8.653846 real, 0.0 real, 0.48076922 real, 1-10
TRUE,"1982-05-08",129,69,11,3,25.581396 real, 0.0 real, 3.1007752 real, 11.627907 real, 2.3255813 real, 28.68217 real, 3.1007752 real, 7.751938 real, 4.6511626 real, 0.0 real, 10.852714 real, 0.0 real, 2.3255813 real, 11-20
TRUE,"1991-01-12",268,105,10,3,26.492537 real, 4.1044774 real, 5.970149 real, 16.791044 real, 0.0 real, 10.820895 real, 1.4925373 real, 7.4626865 real, 14.552238 real, 0.37313432 real, 11.19403 real, 0.0 real, 1.119403 real, 21-30
FALSE,"1985-08-24",319,72,13,4,24.76489 real, 0.31347963 real, 0.94043887 real, 21.630095 real, 0.0 real, 17.868338 real, 1.5673981 real, 12.539185 real, 11.285267 real, 0.31347963 real, 8.15047 real, 0.0 real, 0.62695926 real, 41-50
FALSE,"1989-09-09",242,78,11,4,13.223141 real, 1.2396694 real, 12.396694 real, 6.198347 real, 0.0 real, 21.487604 real, 0.8264463 real, 6.6115704 real, 4.132231 real, 15.702479 real, 18.181818 real, 0.0 real, 0.0 real, 1-10
FALSE,"2000-01-29",243,96,12,3,23.045267 real, 1.2345679 real, 5.3497944 real, 10.699589 real, 0.0 real, 19.341564 real, 1.6460905 real, 12.345679 real, 11.111111 real, 0.0 real, 13.99177 real, 0.0 real, 1.2345679 real, 21-30
FALSE,"2001-06-16",262,74,10,4,23.664122 real, 1.5267175 real, 4.5801525 real, 12.21374 real, 0.0 real, 16.030535 real, 2.2900763 real, 18.70229 real, 9.923664 real, 0.0 real, 8.7786255 real, 0.0 real, 2.2900763 real, 1-10
FALSE,"1986-08-09",223,86,9,3,17.93722 real, 0.89686096 real, 5.8295965 real, 13.452915 real, 0.0 real, 16.143497 real, 2.690583 real, 13.901345 real, 13.004484 real, 0.89686096 real, 15.246636 real, 0.0 real, 0.0 real, 31-40
TRUE,"2014-06-28",918,159,18,5,13.943356 real, 2.5054467 real, 5.0108933 real, 6.535948 real, 0.0 real, 36.27451 real, 1.0893246 real, 12.854031 real, 4.7930284 real, 0.3267974 real, 16.666666 real, 0.0 real, 0.0 real, 21-30
FALSE,"1990-07-28",430,123,13,4,15.348837 real, 1.6279069 real, 16.511627 real, 15.116279 real, 0.0 real, 21.860466 real, 1.8604652 real, 8.604651 real, 7.6744184 real, 0.23255815 real, 10.4651165 real, 0.0 real, 0.6976744 real, 1-10
FALSE,"1999-06-19",377,140,10,3,20.159151 real, 1.32626 real, 6.6313 real, 18.302387 real, 0.0 real, 12.997348 real, 1.591512 real, 10.875332 real, 16.180372 real, 0.795756 real, 10.61008 real, 0.0 real, 0.530504 real, 11-20
FALSE,"2002-09-07",355,93,10,3,17.464788 real, 1.1267606 real, 5.915493 real, 22.535212 real, 0.0 real, 21.408451 real, 0.28169015 real, 18.309858 real, 7.3239436 real, 0.28169015 real, 5.0704226 real, 0.0 real, 0.28169015 real, 1-10
FALSE,"2009-12-05",327,108,10,3,22.32416 real, 2.1406727 real, 4.8929663 real, 16.20795 real, 0.0 real, 15.29052 real, 1.2232416 real, 13.149847 real, 9.174312 real, 1.2232416 real, 11.314984 real, 0.0 real, 3.058104 real, 31-40
FALSE,"2014-03-08",217,89,9,4,20.276497 real, 0.4608295 real, 2.3041475 real, 12.903226 real, 0.0 real, 23.041475 real, 2.764977 real, 20.276497 real, 4.147465 real, 0.0 real, 11.059908 real, 0.0 real, 2.764977 real, 1-10
FALSE,"1987-07-18",235,77,10,3,26.382978 real, 2.5531914 real, 7.2340426 real, 25.106382 real, 0.0 real, 9.787234 real, 1.2765957 real, 5.5319147 real, 10.212766 real, 0.42553192 real, 11.063829 real, 0.0 real, 0.42553192 real, 11-20
FALSE,"2010-10-30",181,76,10,4,17.127071 real, 1.6574585 real, 12.154696 real, 6.077348 real, 0.0 real, 24.309393 real, 1.1049724 real, 9.944752 real, 16.574585 real, 0.0 real, 10.497237 real, 0.0 real, 0.5524862 real, 41-50
FALSE,"2004-06-19",530,127,11,4,17.924528 real, 4.1509433 real, 8.301887 real, 13.584906 real, 0.18867925 real, 25.471699 real, 3.018868 real, 8.301887 real, 3.962264 real, 0.754717 real, 10.566038 real, 0.0 real, 3.7735848 real, 11-20
FALSE,"2006-12-30",182,55,9,3,10.989011 real, 10.439561 real, 13.736263 real, 4.3956046 real, 1.0989012 real, 24.725275 real, 0.0 real, 9.340659 real, 6.5934067 real, 0.0 real, 17.582418 real, 0.0 real, 1.0989012 real, 41-50
TRUE,"2010-01-30",670,201,10,3,15.522388 real, 1.4925373 real, 4.626866 real, 14.029851 real, 0.5970149 real, 25.522388 real, 1.1940298 real, 8.80597 real, 12.537313 real, 2.5373135 real, 9.552238 real, 0.14925373 real, 3.4328358 real, 1-10
FALSE,"1984-10-20",334,124,9,3,25.748503 real, 2.0958083 real, 7.185629 real, 15.568862 real, 0.2994012 real, 9.281437 real, 8.083833 real, 9.281437 real, 10.479042 real, 0.0 real, 11.377246 real, 0.0 real, 0.5988024 real, 1-10
TRUE,"1999-03-27",604,250,13,4,15.562914 real, 2.3178809 real, 7.94702 real, 12.582782 real, 0.33112583 real, 27.649006 real, 1.6556292 real, 13.907285 real, 5.629139 real, 0.16556291 real, 11.258278 real, 0.0 real, 0.9933775 real, 11-20
FALSE,"1991-08-17",351,104,11,3,17.378918 real, 3.133903 real, 7.122507 real, 12.535612 real, 0.56980056 real, 23.931623 real, 3.7037036 real, 9.686609 real, 7.4074073 real, 3.7037036 real, 8.831909 real, 0.0 real, 1.994302 real, 21-30
FALSE,"2012-11-17",249,77,11,3,25.702812 real, 2.811245 real, 9.638555 real, 24.497992 real, 0.40160644 real, 9.236948 real, 6.0240965 real, 9.236948 real, 4.4176707 real, 0.40160644 real, 6.0240965 real, 0.0 real, 1.6064258 real, 21-30
FALSE,"1981-10-31",219,98,9,3,21.004566 real, 3.196347 real, 7.762557 real, 13.242009 real, 0.0 real, 11.872146 real, 6.849315 real, 6.849315 real, 16.438356 real, 0.0 real, 8.675799 real, 0.0 real, 4.109589 real, 1-10
FALSE,"1997-05-03",183,75,9,3,24.043716 real, 3.2786884 real, 4.9180326 real, 18.579235 real, 0.5464481 real, 8.196721 real, 3.8251367 real, 10.382514 real, 12.021858 real, 0.5464481 real, 13.661202 real, 0.0 real, 0.0 real, 1-10
FALSE,"1982-09-11",223,89,9,3,24.663677 real, 1.7937219 real, 4.484305 real, 17.488789 real, 0.89686096 real, 8.96861 real, 5.381166 real, 11.210762 real, 10.762332 real, 0.0 real, 13.901345 real, 0.0 real, 0.44843048 real, 1-10
FALSE,"1982-02-13",261,72,10,3,15.708813 real, 2.6819923 real, 3.4482758 real, 16.858238 real, 0.0 real, 27.586206 real, 0.7662835 real, 13.409962 real, 6.8965516 real, 5.7471266 real, 6.130268 real, 0.0 real, 0.7662835 real, 1-10
TRUE,"2003-11-01",376,134,13,4,28.19149 real, 5.0531917 real, 3.9893618 real, 12.765958 real, 0.0 real, 14.62766 real, 3.7234042 real, 8.776596 real, 7.9787235 real, 0.0 real, 10.106383 real, 0.0 real, 4.787234 real, 11-20
FALSE,"2013-03-02",25,9,11,4,0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 92.0 real, 0.0 real, 4.0 real, 0.0 real, 0.0 real, 4.0 real, 0.0 real, 0.0 real, 1-10
FALSE,"1986-05-03",201,74,8,3,14.42786 real, 0.49751243 real, 3.9800994 real, 10.945273 real, 0.0 real, 38.308456 real, 2.9850745 real, 6.965174 real, 8.955224 real, 1.4925373 real, 10.447762 real, 0.0 real, 0.99502486 real, 1-10
TRUE,"1993-03-20",617,198,18,3,21.069693 real, 2.106969 real, 6.482982 real, 16.36953 real, 2.2690437 real, 21.231766 real, 1.458671 real, 7.7795787 real, 9.23825 real, 0.16207455 real, 9.23825 real, 0.16207455 real, 2.4311182 real, 21-30
TRUE,"2005-04-16",477,280,17,3,20.545073 real, 2.9350104 real, 4.821803 real, 12.159329 real, 1.8867924 real, 26.20545 real, 2.096436 real, 11.949685 real, 5.0314465 real, 0.2096436 real, 10.691824 real, 0.0 real, 1.4675052 real, 1-10
TRUE,"2006-10-07",418,174,14,3,17.70335 real, 2.3923445 real, 3.5885167 real, 19.856459 real, 0.9569378 real, 20.334929 real, 3.3492823 real, 14.114833 real, 8.373206 real, 0.23923445 real, 7.6555023 real, 0.0 real, 1.4354067 real, 31-40
FALSE,"2007-12-22",358,102,10,3,21.22905 real, 6.98324 real, 6.98324 real, 27.653631 real, 0.2793296 real, 8.379889 real, 0.5586592 real, 6.424581 real, 7.26257 real, 0.0 real, 8.379889 real, 0.0 real, 5.865922 real, 1-10
FALSE,"1990-04-07",256,84,8,3,24.609375 real, 5.078125 real, 1.953125 real, 18.75 real, 0.0 real, 18.75 real, 1.171875 real, 4.6875 real, 7.421875 real, 1.953125 real, 12.5 real, 0.0 real, 3.125 real, 41-50
FALSE,"1997-10-18",447,103,9,3,30.201342 real, 1.3422819 real, 8.053691 real, 18.568233 real, 0.0 real, 17.449665 real, 1.3422819 real, 6.935123 real, 3.3557048 real, 0.8948546 real, 11.63311 real, 0.0 real, 0.22371365 real, 41-50
FALSE,"1993-06-19",230,58,9,3,13.913043 real, 4.7826085 real, 2.173913 real, 22.173914 real, 0.8695652 real, 20.869566 real, 1.7391304 real, 12.608696 real, 8.695652 real, 0.0 real, 10.0 real, 0.0 real, 2.173913 real, 1-10
FALSE,"1992-10-31",340,106,9,4,23.235294 real, 2.0588236 real, 6.1764708 real, 15.0 real, 0.29411766 real, 18.235294 real, 0.88235295 real, 6.7647057 real, 18.235294 real, 0.88235295 real, 7.647059 real, 0.0 real, 0.5882353 real, 11-20
FALSE,"1995-06-03",327,88,11,4,23.24159 real, 0.6116208 real, 4.587156 real, 22.32416 real, 0.9174312 real, 14.98471 real, 2.7522936 real, 7.3394494 real, 11.926605 real, 0.0 real, 7.9510703 real, 0.0 real, 3.3639145 real, 1-10
FALSE,"1999-01-16",374,94,11,3,30.481283 real, 2.1390374 real, 3.7433155 real, 20.588236 real, 0.53475934 real, 11.497326 real, 4.5454545 real, 5.080214 real, 12.834225 real, 0.0 real, 6.951872 real, 0.0 real, 1.6042781 real, 1-10
TRUE,"2003-04-12",332,136,12,4,28.012049 real, 3.0120482 real, 1.5060241 real, 17.46988 real, 0.30120483 real, 17.46988 real, 2.7108433 real, 9.337349 real, 6.325301 real, 0.0 real, 11.144578 real, 0.0 real, 2.7108433 real, 21-30
FALSE,"1990-09-15",738,189,10,3,29.539295 real, 2.5745258 real, 4.878049 real, 24.796747 real, 0.0 real, 15.176152 real, 1.2195122 real, 7.99458 real, 2.7100272 real, 1.897019 real, 8.130081 real, 0.0 real, 1.0840108 real, 1-10
FALSE,"2010-06-05",364,113,11,3,24.45055 real, 4.945055 real, 5.2197804 real, 20.604395 real, 0.5494506 real, 10.439561 real, 2.4725275 real, 7.4175825 real, 14.835165 real, 0.0 real, 8.791209 real, 0.0 real, 0.2747253 real, 21-30
FALSE,"1980-03-08",324,73,44,4,22.530865 real, 0.61728394 real, 4.012346 real, 20.987654 real, 0.30864197 real, 22.530865 real, 0.9259259 real, 12.654321 real, 10.493827 real, 0.0 real, 4.6296296 real, 0.0 real, 0.30864197 real, 41-50
FALSE,"1994-02-12",242,83,11,4,16.528925 real, 0.8264463 real, 4.132231 real, 4.958678 real, 1.2396694 real, 32.644627 real, 2.892562 real, 10.743802 real, 5.785124 real, 3.3057852 real, 16.528925 real, 0.0 real, 0.41322315 real, 31-40
TRUE,"1996-07-13",655,304,32,4,18.015266 real, 3.3587787 real, 4.1221375 real, 9.007633 real, 0.15267175 real, 27.93893 real, 1.832061 real, 13.7404585 real, 4.2748094 real, 0.0 real, 14.80916 real, 0.610687 real, 2.1374047 real, 11-20
FALSE,"1992-04-25",215,113,10,3,20.465117 real, 3.2558138 real, 4.1860466 real, 15.348837 real, 1.3953488 real, 19.534883 real, 3.7209303 real, 12.093023 real, 7.4418607 real, 0.0 real, 10.697675 real, 0.0 real, 1.8604652 real, 1-10
