Song,Actual,TF-IDF,TF-IDF Error,Custom,Custom Err
Stay The Same,1999,1998,1,1980,19
Step By Step,1997,1998,1,1985,12
Street Dreams,1997,1996,1,1996,1
Stupid Girl,1996,1997,1,1980,16
Sukiyaki,1995,1996,1,2008,13
Sunny Came Home,1997,1996,1,1997,0
Sweet Lady,1999,1998,1,1980,19
Swing The Mood,1990,1989,1,1989,1
Take A Picture,2000,1999,1,1999,1
Take Me There,1999,1998,1,1998,1
Taking Everything,1999,1998,1,1991,8
Talk To Me,1997,1998,1,1980,17
Team,2014,2013,1,2013,1
Telephone,2010,2009,1,2009,1
Telephone,2010,2009,1,2009,1
Tell Me It's Real,1999,1998,1,1980,19
Thank God I Found You,2000,1999,1,2000,0
The Animal Song,1999,1998,1,2011,12
The Chain Of Love,2000,1999,1,2000,0
The Day The World Went Away,1999,1998,1,1993,6
The Earth The Sun The Rain,1996,1997,1,1980,16
The Hardest Thing,1999,1998,1,1999,0
The Little Girl,2000,1999,1,1980,20
The Motto,2012,2011,1,2011,1
The One I Gave My Heart To,1997,1998,1,1980,17
The Other Side,1990,1991,1,1980,10
The Shoop Shoop Song (It's In His Kiss),1991,1990,1,1990,1
The Way You Move,2004,2003,1,2003,1
Then The Morning Comes,2000,1999,1,1999,1
There Will Never Be Another Tonight,1992,1991,1,1980,12
There You Have It,1999,1998,1,1998,1
There You Have It,1999,1998,1,1998,1
There's Your Trouble,1998,1999,1,1980,18
They Don't Know,1998,1999,1,1980,18
They Don't Know,1998,1999,1,1980,18
Thinkin' 'Bout It,1998,1997,1,2011,13
Thirty-Three,1997,1996,1,1996,1
This Is Your Night,1997,1996,1,1996,1
This Time Around,2000,1999,1,2000,0
Thong Song,2000,1999,1,2008,8
Thought I'd Died And Gone To Heaven,1992,1991,1,1980,12
Thrift Shop,2013,2012,1,2012,1
Through The Wire,2004,2003,1,2003,1
Thugz Mansion,2002,2001,1,2002,0
Tie Me Down,2010,2009,1,2009,1
Time After Time,1998,1997,1,1981,17
To Make You Feel My Love,1997,1998,1,1980,17
To The Moon And Back,1998,1997,1,1997,1
Tonight The Heartache's On Me,1999,1998,1,1987,12
Tonite's Tha Night,1996,1995,1,1995,1
Too Gone Too Long,1997,1998,1,1998,1
Too Hot,1996,1995,1,1995,1
Tootsee Roll,1995,1994,1,1994,1
Trade It All,2002,2001,1,2002,0
Trippin',1999,1998,1,1993,6
Turn It Up,2006,2005,1,2005,1
U Know What's Up,1999,2000,1,2006,7
Un-Break My Heart,1996,1997,1,1996,0
Unpretty,1999,1998,1,2011,12
Until I Find You Again,1997,1998,1,1980,17
Use Your Heart,1996,1997,1,1998,2
Valentine,1997,1998,1,1988,9
Visions Of A Sunset,1996,1995,1,1995,1
Waiting For Tonight,1999,1998,1,2002,3
Walk It Out,2007,2006,1,2006,1
Wanksta,2003,2002,1,2002,1
We Thuggin',2002,2001,1,2001,1
What A Girl Wants,2000,1999,1,1980,20
What It Takes,1990,1991,1,1980,10
What Kind Of Man Would I Be,1996,1997,1,1996,0
What'Chu Like,2000,1999,1,1991,9
What's It Gonna Be?!,1999,1998,1,1999,0
What's Love Got To Do With It,1996,1997,1,1980,16
What's My Name?,1994,1993,1,1993,1
Whatever,2000,1999,1,2006,6
When A Woman's Fed Up,1999,1998,1,1999,0
When I Close My Eyes,1999,1998,1,1980,19
When I Die,1997,1998,1,1980,17
When The Lights Go Out,1998,1997,1,1980,18
When The Night Comes,1990,1991,1,1980,10
When You're Gone/Free To Decide,1997,1996,1,1996,1
Where Do You Go,1996,1995,1,2001,5
Where The Blacktop Ends,2001,2002,1,2002,1
Who I Am,2001,2000,1,2002,1
Why I Love You So Much/Ain't Nobody,1996,1997,1,1996,0
Why I Love you So Much/Ain't Nobody,1996,1997,1,1996,0
Wild Night,1995,1994,1,1994,1
Wish You Were Here,1999,1998,1,1994,5
With You,1999,1998,1,1980,19
Without Love,1997,1998,1,2010,13
Wonder,1996,1995,1,1995,1
Wonderful,2000,1999,1,1980,20
Work Out,2012,2011,1,2011,1
Written In The Stars,1999,1998,1,1999,0
You Are Not Alone,1995,1996,1,1980,15
You Are not Alone,1995,1996,1,1980,15
You Can Do It,2000,1999,1,1999,1
You Don't Have To Hurt No More,1997,1998,1,1991,6
You Don't Know My Name,2004,2003,1,2003,1
You Get What You Give,1999,1998,1,1998,1
You Light Up My Life,1997,1998,1,1980,17
You Should Be Mine (Don't Waste Your Time),1997,1998,1,1997,0
You Were Mine,1999,1998,1,1980,19
You Won't Ever Be Lonely,1999,1998,1,1980,19
You'll Be In My Heart,1999,1998,1,1980,19
You've Got A Way,1999,1998,1,1980,19
Your Loving Arms,1996,1997,1,1980,16
911,2000,1998,2,2002,2
1979,1996,1998,2,2011,15
(Hot S**t) Country Grammar,2000,2002,2,2002,2
1234 (Sumpin' New),1996,1998,2,1998,2
5 O'Clock,1996,1998,2,1994,2
A Thin Line Between Love & Hate,1996,1998,2,1980,16
AM To PM,2001,1999,2,2004,3
Aaron's Party (Come Get It),2000,1998,2,2006,6
Ain't No Nigga/Dead Presidents,1996,1998,2,2004,8
All The Small Things,2000,1998,2,1980,20
All The Things (Your Man Won't Do),1996,1998,2,1980,16
Always Be My Baby,1996,1998,2,2009,13
Amazed,2000,1998,2,1980,20
American Pie,2000,1998,2,2015,15
Another Dumb Blonde,2000,1998,2,1985,15
Anything,1996,1998,2,1980,16
Ascension (Don't Ever Wonder),1996,1998,2,2015,19
Auld Lang Syne,2000,1998,2,2011,11
Back At One,2000,1998,2,1980,20
Back At One,2000,1998,2,1980,20
Back Here,2000,1998,2,1980,20
Back To The World,1996,1998,2,1980,16
Bag Lady,2000,1998,2,1994,6
Be My Lover,1996,1998,2,2013,17
Be With You,2000,1998,2,1980,20
Because You Loved Me,1996,1998,2,1980,16
Been There,2000,1998,2,1980,20
Bent,2000,1998,2,1984,16
Best Of Me,2000,1998,2,2008,8
Between Me And You,2000,1998,2,1980,20
Beware Of The Boys (Mundian To Bach Ke),2003,2001,2,2009,6
Big Deal,2000,1998,2,1980,20
Birmingham,1996,1998,2,2001,5
Bittersweet Me,1996,1998,2,1994,2
Blood On The Dance Floor,1997,1999,2,1984,13
Blue,1996,1998,2,1980,16
Blue (Da Ba Dee),2000,1998,2,1980,20
Bounce With Me,2000,1998,2,1996,4
Breakfast At Tiffany's,1996,1998,2,1995,1
Breathe,2000,1998,2,1980,20
Bring It All To Me,2000,1998,2,2001,1
Broadway,2000,1998,2,1980,20
Brokenhearted,1995,1997,2,1980,15
Bullet With Butterfly Wings,1996,1998,2,2011,15
Butta Love,1997,1999,2,2006,9
Buy Me A Rose,2000,1998,2,1980,20
Bye Bye Bye,2000,1998,2,1980,20
Can I Touch You...There?,1995,1997,2,1980,15
Candy,1999,1997,2,1999,0
Carnival,1995,1997,2,1995,0
Case Of The Ex (Whatcha Gonna Do),2000,1998,2,1999,1
Chains,1996,1998,2,1980,16
Change The World,1996,1998,2,1980,16
Come On Over Baby (All I Want Is You),2000,1998,2,1992,8
Couldn't Last A Moment,2000,1998,2,1980,20
Counting Blue Cars,1996,1998,2,1980,16
Crash And Burn,2000,1998,2,1980,20
Crybaby,2000,1998,2,2000,0
Cryin',1993,1991,2,1980,13
Dance Into The Light,1996,1998,2,1980,16
Dance Tonight,2000,1998,2,2000,0
Dancin',2000,1998,2,1980,20
Differences,2001,1999,2,2001,0
Do You Miss Me,1996,1998,2,1980,16
Do You Want To/Can't Hang,1996,1998,2,1980,16
Doesn't Really Matter,2000,1998,2,2000,0
Don't Say You Love Me,2000,1998,2,2003,3
Don't Think I'm Not,2000,1998,2,2000,0
Down A** Chick,2002,2000,2,2002,0
Down Low (Nobody Has To Know),1996,1998,2,1980,16
Dreaming Of You,1995,1997,2,1995,0
Drive (For Daddy Gene),2002,2000,2,2002,0
Everything You Want,2000,1998,2,2000,0
Faded,2000,1998,2,2000,0
Fantasy,1995,1997,2,1980,15
Fastlove,1996,1998,2,1996,0
Feels So Good,1996,1998,2,1980,16
Feels So Good (Show Me Your Love),1996,1998,2,1980,16
Floatin' On Your Love,1996,1998,2,1980,16
Follow You Down/Til I Hear It From You,1996,1998,2,1986,10
Free,2001,1999,2,2000,1
From The Bottom Of My Broken Heart,2000,1998,2,1980,20
G.H.E.T.T.O.U.T.,1997,1999,2,1997,0
Get It On Tonite,2000,1998,2,1980,20
Get Ready For This,1995,1997,2,1992,3
Get Together,1996,1998,2,1999,3
Glycerine,1996,1998,2,1996,0
Go On,2000,1998,2,1999,1
Gotta Tell You,2000,1998,2,1980,20
Graduation (Friends Forever),2000,1998,2,2000,0
Hands Of A Working Man,1999,1997,2,2001,2
He Can't Love U,2000,1998,2,1980,20
He Wasn't Man Enough,2000,1998,2,1997,3
Heal The World,1993,1991,2,1980,13
Heaven,1995,1997,2,1980,15
Higher,2000,1998,2,1980,20
Hold Me,1999,1997,2,1980,19
Hold Me Thrill Me Kiss Me Kill Me,1995,1997,2,1995,0
Hook,1996,1998,2,1995,1
House Of Love,1995,1997,2,1980,15
How Do You Like Me Now?!,2000,1998,2,1980,20
How You Remind Me,2001,1999,2,1980,21
I Believe I Can Fly,1996,1998,2,1980,16
I Can't Sleep Baby (If I),1996,1998,2,1980,16
I Could Not Ask For More,1999,1997,2,1980,19
I Do (Cherish You),1999,1997,2,2007,8
I Don't Have To Be Me ('Til Monday),2002,2000,2,1980,22
I Feel You,1993,1995,2,1980,13
I Finally Found Someone,1996,1998,2,1996,0
I Learned From The Best,2000,1998,2,1980,20
I Like,1996,1998,2,1997,1
I Lost It,2000,1998,2,1980,20
I Need You,2000,1998,2,1980,20
I Remember,1996,1998,2,1980,16
I Think I'm In Love With You,2000,1998,2,1980,20
I Try,2000,1998,2,1980,20
I Turn To You,2000,1998,2,1981,19
I Wanna Be With You,2000,1998,2,2008,8
I Wanna Know,2000,1998,2,1980,20
I Wanna Love You Forever,2000,1998,2,1999,1
I Want To Come Over,1996,1998,2,1980,16
I Will Come To You,1997,1999,2,1980,17
I Will Get There,1999,1997,2,1981,18
I Will Survive,1996,1998,2,1996,0
I Wish,2000,1998,2,2000,0
I'm A Survivor,2001,1999,2,1994,7
I'm Just Talkin' About Tonight,2001,1999,2,2005,4
I'm Still In Love With You,1997,1999,2,1980,17
If I Ever Lose My Faith In You,1993,1991,2,1980,13
If Your Girl Only Knew,1996,1998,2,2000,4
In The Meantime,1996,1998,2,1996,0
Incomplete,2000,1998,2,2006,6
Insensitive,1996,1998,2,1996,0
Insensitve,1996,1998,2,1996,0
Ironic,1996,1998,2,1996,0
It Feels So Good,2000,1998,2,2006,6
It Must Be Love,2000,1998,2,1998,2
It's A Great Day To Be Alive,2001,1999,2,2001,0
It's All Coming Back To Me Now,1996,1998,2,1980,16
It's All The Way Live (Now),1996,1998,2,1994,2
It's Gonna Be Me,2000,1998,2,2000,0
Jumpin' Jumpin',2000,1998,2,1998,2
Just Friends (Sunny),2000,1998,2,2000,0
Kryptonite,2000,1998,2,2013,13
Lately,1993,1991,2,1980,13
Lessons Learned,2000,1998,2,2002,2
Let's Go,2004,2002,2,2004,0
Let's Go (2004),2004,2002,2,2004,0
Lights Camera Action!,2002,2000,2,2001,1
Like A Woman,1996,1998,2,1996,0
Like I Love You,2002,2000,2,2002,0
Livin' On The Edge,1993,1991,2,1980,13
Love Is Blind,2000,1998,2,1991,9
Love U 4 Life,1996,1998,2,1980,16
Love's The Only House,2000,1998,2,2001,1
Machinehead,1996,1998,2,1987,9
Make It Hot,1998,2000,2,2001,3
Make It Hot,1998,2000,2,2001,3
Make It Hot,1998,2000,2,2001,3
Missing,1996,1998,2,1986,10
Missing You,1996,1998,2,1980,16
Missing You,1996,1998,2,1980,16
More Than This,1997,1995,2,1980,17
Movin On,1998,2000,2,1997,1
Movin' On,1998,2000,2,1997,1
Music,2001,1999,2,2010,9
My Best Friend,2000,1998,2,1980,20
My Boo,1996,1998,2,1996,0
My First Love,2000,1998,2,1985,15
My Love Is For Real,1995,1997,2,1980,15
My Love Is Your Love,2000,1998,2,2009,9
My Next Thirty Years,2000,1998,2,2000,0
Name,1996,1998,2,1995,1
Natural One,1996,1998,2,1995,1
Never Alone (Eeyore's Lullaby),1995,1993,2,1988,7
No More,2000,1998,2,2000,0
Nobody Knows,1996,1998,2,1980,16
None Of Ur Friends Business,2000,1998,2,2000,0
Now And Forever,1994,1996,2,1980,14
Nowhere To Go,1996,1998,2,1980,16
Old Man & Me (When I Get To Heaven),1996,1998,2,1996,0
One More Day,2001,1999,2,1980,21
One Night Stand,2000,1998,2,2000,0
One Voice,2000,1998,2,2000,0
Only In America,2001,1999,2,2001,0
Only Love (The Ballad Of Sleeping Beauty),1996,1998,2,1995,1
Oops!...I Did It Again,2000,1998,2,1980,20
Otherside,2000,1998,2,2000,0
Pinch Me,2000,1998,2,2000,0
Play,2001,1999,2,1980,21
Please Don't Go,1996,1998,2,1980,16
Please Remember Me,1999,1997,2,1982,17
Pop A Top,2000,1998,2,2000,0
Prayer For The Dying,1994,1996,2,1994,0
Redneck Woman,2004,2002,2,2011,7
Remember When,1998,1996,2,1997,1
Ridin' Low,1996,1998,2,1996,0
Rock The Boat,2001,1999,2,1980,21
Rollout (My Business),2002,2000,2,2001,1
Say My Name,2000,1998,2,1980,20
Separated,2000,1998,2,1980,20
She Bangs,2000,1998,2,2009,9
She's All I Got,2001,1999,2,2001,0
She's More,2000,1998,2,2000,0
Somebody To Love,1993,1991,2,1980,13
Someday Out Of The Blue,2000,1998,2,1986,14
Something Like That,1999,1997,2,1999,0
Soon As I Get Home,1996,1998,2,1980,16
Spend My Life With You,1999,1997,2,1980,19
Splash Waterfalls,2004,2002,2,2004,0
Stay The Night,1999,1997,2,1996,3
Swear It Again,2000,1998,2,1980,20
Sweet Dreams,1996,1998,2,2009,13
Tell Her,2001,1999,2,2000,1
Tell Me (I'll Be Around),1996,1998,2,2002,6
Thank You,2001,1999,2,2001,0
That Don't Impress Me Much,1999,1997,2,2000,1
That Thing You Do!,1996,1998,2,1980,16
That'd Be Alright,2003,2001,2,2003,0
That's The Way,2000,1998,2,1980,20
The 13th,1996,1998,2,1994,2
The Christmas Shoes,2001,1999,2,2009,8
The Good Stuff,2002,2000,2,2002,0
The One,2000,1998,2,1980,20
The Things That You Do,1996,1998,2,1996,0
The Way You Love Me,2001,1999,2,1980,21
There She Goes,1999,1997,2,1997,2
There You Go,2000,1998,2,2000,0
There You'll Be,2001,1999,2,1980,21
This Ain't A Love Song,1995,1997,2,2015,20
This I Promise You,2000,1998,2,1998,2
Time,1996,1998,2,1980,16
Tonight Tonight,1996,1998,2,1992,4
Touch Myself,1996,1998,2,1980,16
Try Again,2000,1998,2,1980,20
Twisted,1996,1998,2,2002,6
Unconditional,2000,1998,2,1980,20
Until The End Of Time,1995,1997,2,1980,15
Watch Me Do My Thing,1997,1999,2,1997,0
Water Runs Dry,1995,1997,2,1980,15
We Got It,1996,1998,2,1997,1
Welcome Back,2004,2002,2,2004,0
What About Now,2000,1998,2,2012,12
What Do You Say,2000,1998,2,1985,15
What It Feels Like For A Girl,2001,1999,2,2005,4
When I Said I Do,1999,1997,2,1994,5
When You Love A Woman,1996,1998,2,1980,16
Where Do U Want Me To Put It,1996,1998,2,1995,1
Where Do We Go From Here,1996,1998,2,1980,16
Where I Wanna Be,2000,1998,2,2000,0
Who Can I Run To,1995,1997,2,1985,10
Who Do U Love,1996,1998,2,1980,16
Who Is It,1993,1991,2,1980,13
Who's Your Daddy?,2002,2000,2,2002,0
Why Does It Hurt So Bad,1996,1998,2,1994,2
Will You Be There,1993,1991,2,1980,13
Without You,2000,1998,2,1980,20
Wrapped Up In You,2001,1999,2,1980,21
Wrong Again,1999,1997,2,1980,19
Yes!,2000,1998,2,1980,20
You,1999,1997,2,1980,19
You,1996,1998,2,1980,16
You Gotta Be,1995,1997,2,1994,1
You Make Me Wanna...,1997,1999,2,1980,17
You Must Love Me,1996,1998,2,1981,15
You Sang To Me,2000,1998,2,1980,20
You're Makin' Me High/Let It Flow,1996,1998,2,1996,0
You're The One,1996,1998,2,1980,16
#1,2001,1998,3,1980,21
' Til You Do Me Right,1995,1998,3,1980,15
(She's) Some Kind Of Wonderful,1994,1997,3,2004,10
19 Somethin',2003,2000,3,2010,7
A Girl Like You,1995,1998,3,2011,16
A Long Walk,2001,1998,3,1986,15
Absolutely (Story Of A Girl),2000,1997,3,1980,20
After Party,2001,1998,3,1980,21
Again,2001,1998,3,1980,21
Ain't Nothing 'Bout You,2001,1998,3,1980,21
Ain't Nuthin' But A She Thing,1995,1998,3,1994,1
All For Love,1994,1997,3,1994,0
All For You,2001,1998,3,2006,5
All Or Nothing,2001,1998,3,1991,10
Always,1994,1997,3,1980,14
Amazing,1994,1991,3,1980,14
Angel,2001,1998,3,1999,2
Angry All The Time,2001,1998,3,1980,21
Any Man Of Mine/ Whose Bed Have Your Boots Been Under,1995,1998,3,1980,15
Area Codes,2001,1998,3,1998,3
Around The World (La La La La La),2001,1998,3,1980,21
As I Lay Me Down,1995,1998,3,1984,11
Ashes By Now,2001,1998,3,1980,21
Ask Of You,1995,1998,3,1980,15
Austin,2001,1998,3,1983,18
Axel F,2005,2002,3,1991,14
Baby,1995,1998,3,1980,15
Baby I Love Your Way,1994,1997,3,1997,3
Baby Come Over (This Is Our Night),2001,1998,3,1980,21
Back For Good,1995,1998,3,1980,15
Backwater,1994,1997,3,2014,20
Bad Boy For Life,2001,1998,3,2001,0
Bang And Blame,1995,1998,3,2013,18
Be Like That,2001,1998,3,1980,21
Beautiful Day,2001,1998,3,2002,1
Beautiful In My Eyes,1994,1997,3,1980,14
Beautiful Life,1995,1998,3,1980,15
Because I Got High,2001,1998,3,2012,11
Bedtime Story,1995,1998,3,2002,7
Before I Let You Go,1995,1998,3,1980,15
Before You Walk Out Of My Life/Like This And Like That,1995,1998,3,1980,15
Believe,1995,1998,3,1993,2
Best Friend,1995,1998,3,1996,1
Best Of Intentions,2000,1997,3,1980,20
Big Poppa/Warning,1995,1998,3,2002,7
Big Poppa/Warning,1995,1998,3,2002,7
Blessed,1995,1998,3,1980,15
Blessed,1995,1998,3,1980,15
Blind Man,1994,1991,3,1980,14
Bling Bling,1999,2002,3,2012,13
Body & Soul,1994,1997,3,1980,14
Bootylicious,2001,1998,3,2001,0
Breathless,2001,1998,3,1980,21
Brown Sugar,1995,1998,3,1995,0
But For The Grace Of God,2001,1998,3,2001,0
C'Mon N' Ride It (The Train),1996,1999,3,1996,0
C'mon N' Ride It (The Train),1996,1999,3,1996,0
Can You Feel The Love Tonight,1994,1997,3,1994,0
Can't Cry Anymore,1995,1998,3,1989,6
Can't Stop Lovin' You,1995,1998,3,1980,15
Candy Rain,1995,1998,3,1980,15
Close To You,1995,1998,3,1995,0
Come And Get Your Love,1995,1998,3,1996,1
Come With Me,1995,1998,3,1980,15
Comedown,1995,1998,3,1980,15
Constantly,1995,1998,3,1980,15
Contagious,2001,1998,3,2001,0
Cotton Eye Joe,1995,1998,3,1995,0
Cowboy Take Me Away,2000,1997,3,2000,0
Crazy,1994,1991,3,1980,14
Crazy,2001,1998,3,2000,1
Crazy For This Girl,2001,1998,3,1980,21
Crazy Love,1995,1998,3,1980,15
Creep,1995,1998,3,1994,1
Dance With Me,2001,1998,3,2000,1
December,1995,1998,3,1995,0
Dig In,2001,1998,3,2011,10
Diggin' On You,1995,1998,3,1992,3
Do You Sleep?,1995,1998,3,2000,5
Doin It,1996,1999,3,1996,0
Don't Happen Twice,2001,1998,3,1980,21
Don't Take It Personal (Just One Of Dem Days),1995,1998,3,1980,15
Don't Tell Me,2001,1998,3,2000,1
Downtime,2001,1998,3,1990,11
Downtown Venus,1995,1998,3,2005,10
Dream About You/Funky Melody,1995,1998,3,1980,15
Drive,2001,1998,3,1983,18
Drowning,2001,1998,3,1980,21
Emotion,2001,1998,3,1980,21
Everlasting Love,1995,1998,3,1980,15
Every Day Of The Week,1995,1998,3,1980,15
Every Little Thing I Do,1995,1998,3,1980,15
Every Other Time,2001,1998,3,2001,0
Everywhere,2001,1998,3,2001,0
Exhale (Shoop Shoop),1995,1998,3,1994,1
Fade Into You,1994,1997,3,1980,14
Fallin',2001,1998,3,1980,21
Falling,1996,1999,3,2003,7
Falls Apart,2000,1997,3,2000,0
Family Affair,2001,1998,3,2001,0
Far Behind,1994,1997,3,1980,14
Feel The Funk,1995,1998,3,1995,0
Feelin' On Yo Booty,2001,1998,3,2001,0
Feels So Good,1995,1998,3,1988,7
Fields Of Gold,1993,1990,3,1980,13
Fill Me In,2001,1998,3,2001,0
Flavor Of The Weak,2001,1998,3,1989,12
Follow Me,2001,1998,3,1980,21
Forever In Love,1993,1990,3,1980,13
Freak Like Me,1995,1998,3,1995,0
Freek'n You,1995,1998,3,1995,0
Get On Up,1996,1999,3,1980,16
Get Over Yourself,2001,1998,3,1980,21
Get The Party Started,2001,1998,3,2001,0
Give It 2 You,1995,1998,3,1995,0
Gone,2001,1998,3,2001,0
Good,1995,1998,3,1980,15
Grapevyne,1995,1998,3,1980,15
Grown Men Don't Cry,2001,1998,3,2010,9
Have You Ever Really Loved A Woman?,1995,1998,3,1980,15
He's Mine,1995,1998,3,1995,0
Heard It All Before,2001,1998,3,1998,3
Hemorrhage (In My Hands),2001,1998,3,1980,21
Here's To The Night,2001,1998,3,1980,21
Hero,1993,1996,3,1980,13
Hit 'Em Up Style (Oops!),2001,1998,3,2001,0
Hit Me Off,1996,1999,3,2010,14
Hold My Hand,1995,1998,3,1980,15
Hold On,1995,1998,3,1980,15
How Do U Want It/California Love,1996,1999,3,1996,0
Human Nature,1995,1998,3,1995,0
Husbands And Wives,1998,2001,3,1984,14
I Believe,1995,1998,3,2013,18
I Belong To You/How Many Ways,1995,1998,3,1980,15
I Can Love You Like That,1995,1998,3,1995,0
I Could Not Ask For More,2001,1998,3,1980,21
I Cry,2001,1998,3,2001,0
I Got Id/Long Road,1996,1999,3,1980,16
I Know,1995,1998,3,1980,15
I Like,1995,1998,3,1980,15
I Like It I Love It,1995,1998,3,2009,14
I Live My Life For You,1995,1998,3,1980,15
I Miss You,1995,1998,3,1980,15
I Need A Girl (Part One),2002,1999,3,2002,0
I Need A Girl (Part Two),2002,1999,3,2002,0
I Never Seen A Man Cry (aka I Seen A Man Die),1995,1998,3,1994,1
I Swear,1994,1997,3,1980,14
I Wanna B With U,1995,1998,3,1995,0
I Wanna Be Bad,2001,1998,3,1980,21
I Will Love Again,2000,1997,3,1980,20
I Would've Loved You Anyway,2001,1998,3,1980,21
I'd Lie For You (And That's The Truth),1995,1998,3,1980,15
I'd Rather Be Alone,1995,1998,3,1980,15
I'll Be Around,1995,1998,3,1995,0
I'll Be There For You/This House Is Not A Home,1995,1998,3,1980,15
I'll Be There For You/You're All I Need To Get By,1995,1998,3,1995,0
I'll Be There For You/You're All I Need To Get By,1995,1998,3,1995,0
I'll Be There For You/You're All I Need To Get By,1995,1998,3,1995,0
I'll BeThere For You/This House Is Not A Home,1995,1998,3,1980,15
I'll Stand By You,1994,1997,3,1980,14
I'm A Slave 4 U,2001,1998,3,2001,0
I'm Already There,2001,1998,3,2009,8
I'm Goin' Down,1995,1998,3,1981,14
I'm Gonna Miss Her (The Fishin' Song),2002,1999,3,1994,8
I'm Real,2001,1998,3,1980,21
I'm The Only One,1995,1998,3,1980,15
I'm Tryin',2001,1998,3,2001,0
If I Fall You're Going Down With Me,2001,1998,3,2001,0
If I Wanted To/Like The Way I Do,1995,1998,3,1980,15
If My Heart Had Wings,2001,1998,3,1990,11
If You Think You're Lonely Now,1995,1998,3,1980,15
If You're Gone,2001,1998,3,1994,7
In The Still Of The Nite,1993,1996,3,2015,22
Irresistible,2001,1998,3,2001,0
It's Been Awhile,2001,1998,3,2001,0
It's My Life,2000,1997,3,1980,20
It's Over Now,2001,1998,3,1980,21
Jenny From The Block,2002,1999,3,2002,0
Just Tah Let U Know,1996,1999,3,1995,1
Kiss From A Rose,1995,1998,3,1995,0
Kissin' You,1996,1999,3,1980,16
Lady,1996,1999,3,2014,18
Let Her Cry,1995,1998,3,1995,0
Let Me Be The One,1995,1998,3,1980,15
Let Me Be The One,1995,1998,3,1980,15
Letitgo,1994,1997,3,1994,0
Lifetime,2001,1998,3,1980,21
Living And Living Well,2002,1999,3,2005,3
Locked Up,2004,2001,3,2004,0
Look Into My Eyes,1997,2000,3,1997,0
Love,2001,1998,3,1980,21
Love Don't Love You,1993,1996,3,2006,13
Love Is All Around,1994,1997,3,1980,14
Love Of A Woman,2001,1998,3,2001,0
Loverboy,2001,1998,3,1983,18
Lucky,2000,1997,3,2003,3
Luv U Better,2002,1999,3,2002,0
Mad Season,2001,1998,3,1980,21
Mamacita,2001,1998,3,2008,7
Maybe I Deserve,2001,1998,3,2003,2
Mental Picture,1995,1998,3,1980,15
Misery,1995,1998,3,2004,9
Missing You,2001,1998,3,1985,16
Mrs. Steven Rudy,2001,1998,3,2001,0
Music,2000,1997,3,1997,3
My Everything,2001,1998,3,1980,21
My Front Porch Looking In,2003,2000,3,2003,0
My Neck My Back,2002,1999,3,2012,10
Never Had A Dream Come True,2001,1998,3,1980,21
Never Leave Me Alone,1996,1999,3,1996,0
Nobody Wants To Be Lonely,2001,1998,3,1980,21
Nothing As It Seems,2000,1997,3,1994,6
On A Night Like This,2001,1998,3,2001,0
On Fire,2004,2001,3,2004,0
Only God Knows Why,2000,1997,3,2000,0
Only Wanna Be With You,1995,1998,3,2005,10
Out Of My Head,1999,1996,3,1996,3
Practice What You Preach,1994,1997,3,1980,14
Pretty Girl,1995,1998,3,1980,15
Promise,2001,1998,3,1980,21
Put It On Me,2001,1998,3,2002,1
Rainy Dayz,2002,1999,3,2002,0
Rapture (Tastes So Sweet),2002,1999,3,1980,22
Red Light Special,1995,1998,3,1995,0
Renee,1996,1999,3,1996,0
Riding With Private Malone,2001,1998,3,2001,0
Roll To Me,1995,1998,3,1980,15
Runnin (Dying To Live),2003,2000,3,2005,2
Said I Loved You...But I Lied,1994,1997,3,1980,14
Send Me A Lover,1993,1996,3,1980,13
Sending My Love,1994,1997,3,2007,13
Sentimental,1995,1998,3,1980,15
Sexual (Li Da Di),2000,1997,3,1997,3
Shackles (Praise You),2000,1997,3,2005,5
Shape Of My Heart,2000,1997,3,2000,0
She Couldn't Change Me,2001,1998,3,2001,0
Show Me The Meaning Of Being Lonely,2000,1997,3,2000,0
Simple Kind Of Life,2000,1997,3,1997,3
Sk8er Boi,2002,1999,3,2010,8
Slow And Sexy,1993,1996,3,1989,4
Smile,2000,1997,3,1980,20
So In Love With Two,2001,1998,3,1980,21
Somebody's Crying,1995,1998,3,1980,15
Someone To Love,1995,1998,3,1995,0
Son Of A Gun,2001,1998,3,2001,0
Stand,1993,1996,3,1995,2
Start The Commotion,2001,1998,3,1980,21
Stay The Night,2000,1997,3,1996,4
Stranger In My House,2001,1998,3,2000,1
Streets Of Philadelphia,1994,1997,3,1994,0
Strong Enough,1995,1998,3,1980,15
Stronger,2001,1998,3,1980,21
Stutter,2001,1998,3,2001,0
Superman (It's Not Easy),2001,1998,3,1998,3
Superwoman Pt II,2001,1998,3,2001,0
Survivor,2001,1998,3,2001,0
Take A Bow,1995,1998,3,1994,1
Take It To The Streets,1997,2000,3,1997,0
Take You Out,2001,1998,3,2001,0
Tell Me,1996,1999,3,1983,13
Tell Me,1995,1998,3,1980,15
Ten Rounds With Jose Cuervo,2002,1999,3,2012,10
Tha Crossroads,1996,1999,3,1996,0
Thank You,1995,1998,3,1980,15
That's The Way It Is,2000,1997,3,1980,20
The Christmas Song (Chestnuts Roasting On An Open Fire),2000,2003,3,1994,6
The One,2002,1999,3,2001,1
The Rhythm Of The Night,1995,1998,3,1980,15
The Sweetest Days,1995,1998,3,1994,1
