SONG,YEAR,VERBS,CONJUNCTION,ADJECTIVE,PRONOUN,NUMBER,NOUN,TO,PREPOSITION,ADVERB,INTERJECTION,OTHER,FOREIGN,INTERROGATIVE,SIMPLE NARC,COMPLEX NARC,,,
Look At Me Now,2011,159,42,33,126,4,182,13,86,62,2,73,0,15,23,9.857142857,,,
Look Away,1988,96,14,12,75,0,39,14,41,46,0,30,0,11,17,9.973333333,,,
Look Into My Eyes,1997,201,38,39,184,5,205,17,103,40,2,117,0,30,39,23.95108696,,,
Look Out Any Window,1988,56,3,13,17,0,51,2,33,17,2,60,0,4,0,0,,,
Look What You've Done,2005,48,2,4,25,0,45,2,23,17,0,21,0,9,4,1.92,,,
Look What You've Done To Me,1980,47,7,4,31,1,32,12,15,23,0,22,0,4,9,6.096774194,,,
Lookin Boy,2008,70,4,38,41,3,307,2,46,9,0,38,0,0,6,2.048780488,,,
Lookin' At Me,1998,125,18,41,134,5,139,5,113,75,0,55,0,26,44,29.88059701,,,
Lookin' For Love,1980,17,6,6,11,0,38,4,15,5,0,18,0,3,1,0.272727273,,,
Looking For A New Love,1987,78,2,44,56,0,126,7,39,20,0,54,0,5,14,7.5,,,
Looking For A Stranger,1983,34,5,13,35,0,36,1,24,15,6,31,0,2,8,3.428571429,,,
Looking Through Patient Eyes,1993,102,14,25,116,1,84,16,48,32,0,48,0,16,14,4.948275862,,,
Looking Through Your Eyes,1998,57,9,2,48,6,42,3,33,21,0,24,0,9,-7,-10.5,,,
Looks Like Love Again,1980,45,3,9,32,0,71,1,30,20,4,13,0,2,7,2.1875,,,
Lose Control,2005,125,5,22,75,0,199,9,54,52,0,56,0,4,-4,-6.986666667,,,
Lose My Breath,2004,153,17,8,148,1,102,8,29,32,0,63,0,6,94,72.40540541,,,
Lose My Mind,2015,55,8,15,58,1,37,6,17,22,0,21,0,2,28,15.44827586,,,
Lose My Mind,2010,79,9,33,70,16,190,5,54,18,0,87,0,16,23,12.48571429,,,
Lose Yourself,2002,149,30,42,82,13,151,18,53,58,1,89,0,9,9,2.414634146,,,
Loser,1994,37,9,15,30,0,142,2,55,22,0,62,0,9,3,1.3,,,
Loser Like Me,2011,94,22,18,79,3,75,2,53,36,3,52,0,3,30,16.32911392,,,
Losing My Religion,1991,75,5,2,59,0,35,5,24,22,4,38,0,2,10,4.06779661,,,
Lost Her In The Sun,1980,45,4,2,37,0,50,3,33,11,1,36,0,6,0,0,,,
Lost In Emotion,1987,63,8,20,56,0,68,2,39,20,1,25,0,9,11,5.107142857,,,
Lost In Love,1980,77,15,19,53,0,34,9,33,24,0,18,0,5,8,3.471698113,,,
Lost In Love,1985,60,11,9,55,1,48,1,37,14,0,25,0,5,17,10.81818182,,,
Lost In This Moment,2007,35,5,16,39,0,75,2,33,13,0,41,0,0,5,2.564102564,,,
Lost In You,1999,40,6,5,29,0,34,2,18,9,0,12,0,6,1,0.344827586,,,
Lost In You,1988,73,10,23,54,1,78,5,50,23,1,28,0,6,1,0.462962963,,,
Lost In Your Eyes,1989,46,5,6,30,1,27,2,25,10,1,15,0,12,3,0.6,,,
Lost Without U,2007,81,5,10,77,0,46,8,23,4,13,17,0,9,25,15.58441558,,,
Lost!,2009,38,7,5,10,1,30,2,15,12,2,20,0,1,0,0,,,
Lot Of Leavin' Left To Do,2005,61,8,15,31,2,34,10,31,18,0,33,0,0,8,5.161290323,,,
Lotus Flower Bomb,2011,106,13,23,107,3,113,12,54,39,0,41,0,7,7,2.878504673,,,
Loungin,1996,105,6,20,77,1,157,6,65,30,9,55,1,8,15,5.844155844,,,
Love,2006,87,11,8,70,0,33,4,12,33,1,10,0,16,2,0.914285714,,,
Love,2001,63,17,35,51,0,65,7,41,24,0,32,0,3,4,1.803921569,,,
Love All The Hurt Away,1981,38,13,9,33,0,60,4,26,20,0,44,0,0,-7,-10.18181818,,,
Love Always,1986,51,18,15,43,2,72,12,43,43,8,39,0,1,1,0.674418605,,,
Love And Emotion,1990,71,13,17,54,0,77,3,31,12,0,52,0,12,18,8.666666667,,,
Love And Understanding,1991,43,13,15,19,3,61,14,21,41,4,37,0,8,-7,-11.42105263,,,
Love At 1st Sight,2003,83,17,38,67,2,96,4,49,33,1,69,1,4,8,2.746268657,,,
Love At First Sight,2002,74,6,32,50,6,51,12,35,13,0,26,0,7,3,0.78,,,
Love At First Sight,1991,56,7,17,43,2,54,9,37,28,1,29,0,1,-1,-1.534883721,,,
Love Bites,1988,80,5,11,63,0,62,9,27,16,1,24,0,10,11,6.285714286,,,
Love Can Move Mountains,1993,66,9,20,46,0,85,6,42,14,1,44,0,2,-13,-19.5,,,
Love Change (Everything),1988,73,8,7,42,1,89,6,15,13,0,25,0,1,7,2.666666667,,,
Love Changes (Everything),1988,73,8,7,42,1,89,6,15,13,0,25,0,1,7,2.666666667,,,
Love Child,1990,58,2,16,29,0,66,5,24,28,0,22,0,1,4,2.068965517,,,
Love Come Down,1982,107,3,6,97,0,79,0,47,41,7,46,0,4,26,14.20618557,,,
Love Cries,1989,25,2,6,14,0,57,6,19,8,5,30,1,5,0,0,,,
Love Desire,1991,64,6,14,53,1,145,6,25,42,0,24,0,22,9,4.075471698,,,
Love Don't Cost A Thing,2001,150,3,27,145,0,158,5,70,38,3,54,0,5,25,11.72413793,,,
Love Don't Love You,1993,80,10,6,60,2,66,9,30,24,0,23,0,5,17,9.916666667,,,
Love Drunk,2009,76,17,28,68,3,102,19,30,52,7,45,0,0,10,4.117647059,,,
Love Gets Me Every Time,1997,96,31,19,63,0,53,3,24,10,0,21,0,0,12,2.476190476,,,
Love In An Elevator,1989,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Love In Store,1983,26,1,6,22,1,29,1,22,20,2,11,0,1,5,1.363636364,,,
Love In The First Degree,1982,36,9,26,30,5,52,4,34,20,8,30,0,1,7,2.8,,,
Love In The First Degree,1988,55,5,19,45,0,69,1,40,9,0,48,0,1,14,8.088888889,,,
Love In This Club,2008,91,13,18,94,1,178,5,97,17,1,93,0,8,4,1.914893617,,,
Love In This Club Part II,2008,91,13,18,94,1,178,5,97,17,1,93,0,8,4,1.914893617,,,
Love Is,1990,53,0,15,34,0,69,12,25,1,1,16,0,9,12,8.117647059,,,
Love Is,1993,39,9,8,25,0,53,3,27,8,1,31,0,2,-2,-3.6,,,
Love Is A Battlefield,1983,59,8,17,48,0,55,8,18,17,0,41,0,2,-10,-13.75,,,
Love Is A Beautiful Thing,2008,69,16,21,30,3,107,8,31,13,1,63,0,1,0,0,,,
Love Is A Stranger,1983,53,37,16,61,0,31,4,18,18,0,22,0,0,0,0,,,
Love Is A Wonderful Thing,1991,66,11,31,34,3,70,3,13,24,5,33,0,6,2,0.529411765,,,
Love Is All Around,1994,72,15,0,65,0,29,4,29,22,7,22,0,0,12,3.323076923,,,
Love Is Alright Tonite,1982,54,3,10,19,1,39,1,26,31,0,18,0,2,1,0.105263158,,,
Love Is An Open Door,2014,46,8,20,36,1,71,4,23,16,0,25,0,2,6,3,,,
Love Is Blind,2000,160,39,20,136,2,122,16,42,28,1,59,0,15,10,3.602941176,,,
Love Is Forever,1986,49,5,5,41,0,34,2,24,17,3,17,0,3,3,1.390243902,,,
Love Is In Control,1982,72,7,9,48,4,108,2,40,13,0,41,0,0,15,6.25,,,
Love Is Like A Rock,1982,18,0,0,19,0,23,0,15,3,0,18,0,3,0,0,,,
Love Is On The Way,1992,38,4,12,39,8,54,0,23,19,0,27,0,8,3,0.307692308,,,
Love Is The Seventh Wave,1985,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Love Light In Flight,1985,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Love Like Crazy,2010,56,8,23,39,4,40,8,16,20,0,20,0,8,0,0,,,
Love Like This,1998,79,6,7,50,0,49,16,48,32,2,61,0,2,9,5.04,,,
Love Like This,2008,118,8,18,106,0,88,16,51,59,0,65,0,18,23,15.40566038,,,
Love Like Woe,2010,91,19,22,93,2,88,4,62,55,0,75,0,3,21,11.96774194,,,
Love Lockdown,2008,104,6,14,99,2,76,14,38,30,0,36,0,5,3,0.878787879,,,
Love Makes Things Happen,1991,109,9,16,89,1,81,0,39,59,0,44,0,17,0,0,,,
Love Me,1998,89,9,19,72,11,123,5,43,28,4,30,0,12,31,18.51388889,,,
Love Me,2009,125,3,14,127,2,50,4,35,14,11,22,0,15,40,24.2519685,,,
Love Me,2013,62,14,17,60,1,95,6,38,21,0,47,0,3,18,7.5,,,
Love Me,1992,63,2,22,57,1,62,5,36,15,1,39,0,3,5,2.280701754,,,
Love Me Again,2014,45,1,5,34,0,20,5,16,18,3,20,0,3,6,3,,,
Love Me All Up,1992,68,13,13,64,1,43,7,29,31,2,44,0,0,16,8.75,,,
Love Me For Life,1990,45,8,16,44,1,38,4,12,14,0,21,15,5,18,11.86363636,,,
Love Me Harder,2014,106,10,11,76,0,33,14,30,26,0,19,0,4,24,12.31578947,,,
Love Me If You Can,2007,50,13,13,58,0,34,12,25,11,0,21,0,7,21,12.67241379,,,
Love Me In A Special Way,1984,57,4,23,45,0,24,5,23,28,0,23,0,14,22,13.2,,,
Love Me Like You Do,2015,92,3,13,85,0,45,3,55,11,0,30,0,7,34,17.2,,,
Love Me Like You Mean It,2015,103,7,20,88,0,62,6,55,20,1,28,0,2,24,14.45454545,,,
Love Me Or Hate Me (F**k You!!!!),2006,141,42,24,131,5,143,4,41,64,3,71,0,14,57,34.80916031,,,
Love Me Tomorrow,1982,48,4,4,50,0,37,3,24,27,0,20,0,2,15,8.1,,,
Love More,2013,77,8,16,72,2,69,3,29,25,2,35,0,6,-6,-9.583333333,,,
Love My Way,1983,24,5,5,29,0,35,1,17,8,0,23,0,4,5,3.275862069,,,
Love Myself,2015,57,5,12,54,0,130,4,34,44,1,29,48,5,9,1.5,,,
Love Never Felt So Good,2014,66,15,17,55,0,45,0,45,36,5,14,0,0,18,9.818181818,,,
Love No Limit,1993,128,6,12,85,0,91,7,29,37,0,50,0,0,3,1.376470588,,,
Love Of A Lifetime,1991,30,5,6,33,1,33,3,26,17,0,31,0,0,-3,-4.090909091,,,
Love Of A Woman,2001,42,3,22,35,1,48,7,19,12,0,42,0,10,1,0.228571429,,,
Love Of My Life (An Ode To Hip Hop),2003,84,18,19,105,1,91,8,39,21,0,38,0,8,27,13.37142857,,,
Love Of The Common People,1984,55,13,23,45,0,105,18,52,25,0,67,0,5,0,0,,,
Love On A Rooftop,1991,83,3,33,50,1,60,6,53,21,6,53,0,8,-16,-24.64,,,
Love On A Two Way Street,1981,43,10,11,32,6,39,3,21,12,0,23,0,1,3,0.46875,,,
Love On My Mind,1994,90,11,3,66,0,81,21,43,17,0,32,0,8,22,11.66666667,,,
Love On The Rocks,1981,49,4,2,46,0,23,4,11,22,0,22,0,8,4,2.086956522,,,
Love On Top,2011,52,6,11,48,7,66,1,34,16,1,32,0,4,9,4.3125,,,
Love On Your Side,1983,57,5,43,65,0,59,5,44,14,0,15,0,3,7,3.876923077,,,
Love Or Let Me Be Lonely,1982,39,2,3,22,0,24,7,6,13,1,12,0,0,8,4,,,
Love Overboard,1988,86,3,18,65,2,75,17,48,61,0,24,0,9,15,8.307692308,,,
Love Plus One,1982,27,14,9,11,8,50,3,10,6,12,10,11,4,0,0,,,
Love Power,1987,78,7,9,73,3,36,7,33,26,0,15,0,7,-6,-9.205479452,,,
Love Remains The Same,2008,96,5,9,53,2,40,13,24,30,2,39,0,3,-5,-7.452830189,,,
Love Runs Out,2014,75,13,21,44,1,65,0,50,24,3,40,0,1,4,1.272727273,,,
Love Sex Magic,2009,125,40,15,118,1,114,9,49,30,0,37,0,12,19,11.43220339,,,
Love Shack,1989,49,12,26,29,3,213,5,46,25,1,66,0,14,1,0.344827586,,,
Love Shoulda Brought You Home,1993,96,4,18,98,1,112,9,51,34,0,29,0,5,26,15.65306122,,,
Love Sneakin' Up On You,1994,36,1,14,22,0,45,5,24,17,0,26,0,2,2,1.181818182,,,
Love Somebody,2013,42,5,17,36,0,32,8,17,21,21,27,0,2,10,5.555555556,,,
Love Somebody,1984,51,3,19,40,7,51,1,20,25,0,21,0,3,3,0.825,,,
Love Song,2008,94,8,13,88,1,67,15,51,28,1,38,0,3,13,7.090909091,,,
Love Song,1990,55,3,7,22,2,51,3,15,12,1,23,0,0,0,0,,,
Love Song,1989,30,0,4,50,0,4,0,12,30,0,8,0,8,6,2.4,,,
Love Stinks,1980,44,5,2,18,3,61,0,20,16,1,15,0,0,0,0,,,
Love Story,2009,102,16,11,58,0,63,11,30,27,9,42,0,5,7,3.74137931,,,
Love Story,2009,94,16,15,55,1,73,12,31,25,0,52,0,5,4,1.6,,,
Love T.K.O.,1981,90,8,9,44,0,92,5,35,28,0,43,0,1,5,0.909090909,,,
Love Takes Time,1990,73,5,10,42,0,28,8,22,21,5,12,0,4,5,2.023809524,,,
Love That Got Away,1980,42,1,12,35,0,28,4,11,26,0,11,0,8,2,0.571428571,,,
Love The Way You Lie,2010,168,21,30,148,1,105,9,74,80,0,72,0,15,14,5.297297297,,,
Love The World Away,1980,22,6,7,14,0,28,3,7,19,0,18,0,3,4,2.285714286,,,
Love Theme From St Elmo's Fire,1985,63,9,17,56,0,96,1,33,28,0,54,0,10,16,6.571428571,,,
Love Theme From St. Elmo's Fire,1985,63,9,17,56,0,96,1,33,28,0,54,0,10,16,6.571428571,,,
Love Touch,1986,70,8,24,52,1,35,10,12,27,1,22,0,6,12,6.692307692,,,
Love U 4 Life,1996,116,16,5,104,0,57,3,50,16,0,43,0,11,9,4.240384615,,,
Love U More,1993,80,9,7,68,0,35,1,10,33,0,40,0,0,16,6.117647059,,,
Love Walks In,1986,41,9,17,22,0,66,5,27,20,0,31,0,2,0,0,,,
Love Will Conquer All,1986,55,5,12,31,0,33,13,14,28,1,39,0,11,-15,-16.93548387,,,
Love Will Find A Way,1987,54,4,6,33,0,48,12,18,7,0,45,0,1,10,6.363636364,,,
Love Will Lead You Back,1990,60,4,12,64,8,45,7,26,44,2,29,0,4,6,3.5625,,,
Love Will Never Do (Without You),1991,31,2,7,28,0,22,4,14,13,0,20,0,2,1,0.357142857,,,
Love Will Save The Day,1988,105,29,29,73,0,159,8,47,29,2,115,0,19,7,3.931506849,,,
Love Will Show Us How,1984,24,8,4,22,0,15,1,10,11,0,11,0,5,0,0,,,
Love Will Turn You Around,1982,56,8,6,55,0,44,6,40,13,0,27,0,9,0,0,,,
Love You Down,1998,100,4,13,104,0,25,11,31,43,4,23,0,4,34,21.57692308,,,
Love You Down,1998,67,1,10,71,0,29,9,23,30,1,19,0,3,23,14.90140845,,,
Love You Down,1998,67,1,10,71,0,29,9,23,30,1,19,0,3,23,14.90140845,,,
Love You Down,1987,17,1,2,17,0,7,4,7,8,0,5,0,2,6,3.882352941,,,
Love You Like A Love Song,2012,67,12,8,69,1,95,7,56,7,0,32,0,4,4,1.68115942,,,
Love You Like I Never Loved Before,1981,25,4,6,25,0,19,3,17,17,0,8,0,1,4,1.6,,,
Love You Like That,2015,34,3,18,26,1,50,0,27,12,1,29,0,0,2,0.846153846,,,
Love You Out Loud,2003,62,9,13,41,1,54,15,27,24,0,35,0,6,5,1.585365854,,,
Love Zone,1986,55,8,7,50,0,52,7,25,22,4,26,0,2,7,3.92,,,
Love's Been A Little Bit Hard On Me,1982,43,1,46,18,1,42,7,24,29,0,39,0,2,7,3.888888889,,,
Love's The Only House,2000,69,28,41,47,4,106,5,43,37,0,87,0,4,6,2.808510638,,,
Love...Thy Will Be Done,1991,70,7,18,32,1,35,3,12,36,0,60,0,5,6,1.3125,,,
LoveGame,2009,60,16,15,47,2,99,4,33,18,0,48,0,0,7,2.978723404,,,
LoveStoned,2007,100,18,9,81,1,60,3,33,29,5,33,0,2,11,2.308641975,,,
Lovebug,2009,40,2,4,28,0,50,3,28,35,0,25,0,1,4,1.285714286,,,
Lovely One,1980,72,7,24,80,8,35,2,27,13,0,39,0,10,20,12.25,,,
Lover Boy,1985,45,6,6,44,1,55,9,15,12,9,10,0,1,5,1.25,,,
Lover Girl,1985,92,13,20,89,0,74,17,27,17,1,36,0,5,16,6.112359551,,,
Lover, Lover,2010,82,15,40,66,0,65,12,19,41,2,40,0,2,22,10.66666667,,
Loverboy,2001,37,8,4,44,0,37,6,16,7,0,15,0,9,21,13.36363636,,,
Lovers And Friends,2005,139,26,29,98,2,127,15,55,60,12,66,0,4,21,11.78571429,,,
Lovin' Every Minute Of It,1985,20,4,4,21,0,33,1,14,10,0,18,0,0,8,3.428571429,,,
Lovin' The Night Away,1981,34,6,12,34,0,39,3,23,18,0,26,0,3,3,0.970588235,,,
Loving You Easy,2015,42,6,22,35,0,28,1,13,16,0,21,0,4,4,1.942857143,,,
Low,2008,124,17,108,93,6,174,5,54,17,0,84,0,6,8,2.23655914,,,
Loyal,2014,120,17,49,92,1,167,2,49,17,4,72,0,17,16,5.391304348,,,
Loyal,2014,120,17,49,92,1,167,2,49,17,4,72,0,17,16,5.391304348,,,
Loyal,2014,120,17,49,92,1,167,2,49,17,4,72,0,17,16,5.391304348,,,
Lucas With The Lid Off,1994,146,29,58,96,0,195,8,81,60,3,84,3,18,51,31.34375,,,
Luchini aka (This Is It),1997,83,16,20,45,1,212,4,68,24,0,67,0,10,-1,-1.577777778,,,
Lucky,2000,51,12,17,31,0,71,1,33,14,0,27,0,8,6,1.935483871,,,
Lucky,2010,51,1,33,34,1,54,12,26,10,3,28,0,8,3,1.323529412,,,
Lucky,1985,37,9,29,33,0,13,3,16,17,1,7,0,0,2,0.121212121,,,
Lucky,2009,59,1,29,35,1,52,12,30,13,3,20,0,8,3,1.457142857,,,
Lucky In Love,1985,61,8,37,31,12,109,8,48,38,5,53,0,6,9,3.774193548,,,
Lucky Love,1996,55,3,17,40,0,52,2,27,16,6,9,0,1,-2,-3.4,,,
Lucky Me,1980,34,7,10,23,0,30,3,19,13,3,25,0,6,3,1.434782609,,,
Lucky One,1994,22,12,22,17,21,111,3,27,11,0,59,0,3,4,1.647058824,,,
Lucky Star,1984,76,7,34,61,0,94,4,24,35,3,24,0,6,17,8.639344262,,,
Luka,1987,57,2,7,55,0,27,3,27,55,0,8,0,12,11,4,,,
Lullaby,1999,45,12,20,22,0,78,3,24,12,0,40,0,0,0,0,,,
Luv U Better,2002,157,16,52,133,7,129,23,48,54,0,64,0,12,7,3.578947368,,,
Luxurious,2005,69,25,25,42,0,135,7,35,75,0,53,3,3,-13,-17.02380952,,,
Lyin' To Myself,1990,46,3,5,45,2,49,10,24,30,0,22,0,4,15,8.666666667,,,
Macarena,1996,43,6,18,28,1,228,3,17,11,0,34,33,5,9,5.142857143,,,
Macarena (Bayside Boys Mix),1996,43,6,18,28,1,228,3,17,11,0,34,33,5,9,5.142857143,,,
Machinehead,1996,22,4,14,20,0,50,8,21,6,0,24,0,0,1,0.5,,,
Mad,2009,88,17,20,66,0,79,23,56,36,17,45,0,11,-6,-8.454545455,,,
Mad About You,1986,17,4,28,32,1,24,1,33,13,0,11,0,0,0,0,,,
Mad Season,2001,91,21,33,68,0,48,3,33,26,0,29,0,8,9,3.970588235,,,
Mad World,2009,40,7,27,32,0,45,6,21,9,1,20,0,5,7,2.1875,,,
Made In America,2011,38,11,23,20,3,88,0,40,16,0,36,0,3,-1,-1.95,,,
Made You Look,2003,86,10,35,77,1,190,9,48,23,0,66,0,17,8,4.051948052,,,
Madness,2013,49,16,21,29,0,26,6,11,20,1,21,0,3,2,0.689655172,,,
Magic,2010,92,8,14,65,1,135,6,45,20,0,54,0,9,21,8.723076923,,,
Magic,2014,37,11,12,42,2,17,2,14,17,0,7,0,2,2,0.333333333,,,
Magic,1980,49,3,9,37,0,34,6,12,11,0,17,0,2,-4,-6.054054054,,,
Magic,1984,39,2,22,55,0,63,2,51,25,5,39,0,5,2,0.981818182,,,
Magic Stick,2003,110,10,18,110,3,153,4,56,40,0,74,0,4,16,5.672727273,,,
Major Tom (Coming Home),1983,52,4,13,12,7,57,5,23,14,0,28,0,1,0,0,,,
Make 'Em Say Uhh!,1998,170,23,82,101,2,313,10,106,33,0,122,0,13,-5,-8.316831683,,,
Make 'Em Say Uhh!,1998,170,23,82,101,2,313,10,106,33,0,122,0,13,-5,-8.316831683,,,
Make 'Em Say Uhh!,1998,170,23,82,101,2,313,10,106,33,0,122,0,13,-5,-8.316831683,,,
Make 'Em Say Uhh!,1998,170,23,82,101,2,313,10,106,33,0,122,0,13,-5,-8.316831683,,,
Make A Little Magic,1980,39,4,19,19,0,42,11,15,11,0,36,0,1,-3,-4.263157895,,,
Make A Move On Me,1982,64,6,9,46,5,32,6,34,15,0,41,0,0,16,8.695652174,,,
Make Believe,1982,67,5,13,28,3,44,5,20,20,0,33,0,28,-14,-20.5,,,
Make Her Feel Good,2005,137,2,17,46,0,100,29,39,20,0,87,0,21,9,1.956521739,,,
Make Her Say,2009,56,19,11,81,1,280,3,48,10,44,42,0,11,0,0,,,
Make It Clap,2003,171,30,36,128,5,162,22,67,50,4,76,0,5,7,3.7734375,,,
Make It Happen,1992,178,34,8,137,1,63,15,55,47,0,29,0,7,9,2.824817518,,,
Make It Hot,1998,104,4,16,103,0,89,4,33,15,11,68,0,31,7,2.582524272,,,
Make It Hot,1998,104,4,16,103,0,89,4,33,15,11,68,0,31,7,2.582524272,,,
Make It Hot,1998,104,4,16,103,0,89,4,33,15,11,68,0,31,7,2.582524272,,,
Make It Like It Was,1990,77,2,13,86,0,32,12,37,10,0,17,0,7,10,2.325581395,,,
Make It Rain,2014,33,10,11,19,0,37,2,25,16,0,27,0,2,5,2.105263158,,,
Make It Rain,2007,180,6,9,175,4,147,3,66,17,0,60,2,5,-1,-1.817142857,,,
Make It Real,1988,24,3,7,25,2,18,4,10,13,0,9,0,0,8,4.8,,,
Make Love Like A Man,1992,83,5,13,56,1,128,4,68,20,6,53,0,16,9,3.375,,,
Make Love Stay,1983,39,7,11,11,0,27,0,19,22,0,14,0,5,-7,-8.272727273,,,
Make Me Better,2007,111,24,40,137,0,127,3,73,74,1,68,0,18,50,27.73722628,,,
Make Me Lose Control,1988,79,11,25,56,0,90,1,37,32,8,50,0,5,26,16.71428571,,,
Make Me Proud,2011,85,19,36,66,3,104,9,48,50,0,45,0,12,3,1.409090909,,,
Make Me Wanna,2015,75,12,19,56,0,60,10,42,18,1,38,0,2,17,9.107142857,,,
Make You Sweat,1990,75,8,6,76,0,45,6,20,23,21,28,0,2,10,3.815789474,,,
MakeDamnSure,2006,62,4,30,70,0,45,2,24,107,2,20,0,0,3,1.542857143,,,
Makes Me Wonder,2007,85,12,12,59,1,52,13,34,45,2,35,0,4,11,5.033898305,,,
Makin' Good Love,2002,112,10,20,90,0,113,3,40,23,0,61,0,36,-25,-35.83333333,,,
Making Love,1982,33,10,7,20,2,18,5,7,16,0,10,0,2,-9,-12.15,,,
Making Love In The Rain,1987,63,2,7,55,0,65,4,32,21,0,47,0,4,18,8.509090909,,,
Making Love Out Of Nothing At All,1983,108,26,19,66,0,67,18,73,25,1,63,0,16,2,0.515151515,,,
Making Memories Of Us,2005,46,13,7,42,1,50,2,34,13,0,21,0,1,-3,-4.5,,,
Mama Said Knock You Out,1991,80,13,22,70,1,155,7,35,21,0,55,0,8,12,6.514285714,,,
Mama Used To Say,1982,75,7,14,32,1,51,25,19,7,4,22,0,6,0,0,,,
Mama's Broken Heart,2013,55,10,8,39,0,53,5,13,17,0,27,0,7,4,1.128205128,,,
Mama, I'm Coming Home,1992,45,11,8,32,2,60,4,19,11,5,22,0,0,9,3.9375,,
Mamacita,2001,91,4,12,75,2,68,13,21,23,2,36,0,9,15,8.4,,,
Mambo No. 5 (A Little Bit Of?),1999,53,13,30,54,10,103,6,55,20,0,58,0,4,13,5.537037037,,,
Man In The Mirror,2011,128,11,30,72,1,138,30,62,26,10,95,0,6,4,1.777777778,,,
Man In The Mirror,1988,122,10,25,68,1,108,17,61,30,6,87,0,6,5,2.205882353,,,
Man On The Corner,1982,48,14,10,27,1,47,7,24,31,6,28,0,9,0,0,,,
Man On The Moon,1993,64,3,15,41,1,152,1,64,17,0,38,0,0,-2,-3.170731707,,,
Man On Your Mind,1982,65,4,6,51,0,78,11,29,21,1,39,0,7,2,0.509803922,,,
Man Size Love,1986,71,7,4,78,0,119,3,33,5,0,43,0,6,33,22.84615385,,,
Man To Man,2003,56,2,12,52,3,66,31,15,27,0,22,0,15,14,8.346153846,,,
Man! I Feel Like A Woman!,1999,74,3,30,29,0,91,7,33,15,4,47,0,3,2,0.482758621,,,
Mandolin Rain,1987,81,5,10,41,0,72,28,32,16,5,51,0,2,10,3.902439024,,,
Maneater,1982,68,5,9,43,0,64,1,20,41,11,69,0,2,0,0,,,
Maneater,2006,134,3,12,116,0,91,3,57,44,0,53,0,4,4,1.862068966,,,
Maniac,1983,30,10,12,19,0,75,1,39,17,0,44,0,3,0,0,,,
Manic Monday,1986,57,3,9,40,2,64,10,24,29,0,33,0,3,7,1.75,,,
Maps,2014,85,7,22,94,0,62,24,51,29,0,37,0,25,13,7.329787234,,,
Maria,1992,135,20,21,137,0,66,17,31,39,0,27,0,10,13,5.788321168,,,
Maria Maria,2000,35,2,10,30,0,196,7,44,12,3,45,4,2,5,1.666666667,,,
Marry Me,2013,65,6,8,62,6,43,11,30,18,0,41,0,10,19,11.03225806,,,
Marry Me,2011,41,9,5,34,1,28,9,16,21,3,24,0,1,12,8.117647059,,,
Marry The Night,2011,43,5,7,14,1,207,8,26,19,2,48,7,1,6,4.285714286,,,
Marry You,2010,73,17,32,55,0,106,4,21,17,0,33,0,6,0,0,,,
Marvin & Chardonnay,2011,68,13,23,56,0,103,8,35,30,0,49,0,12,-1,-1.642857143,,,
Marvin Gaye,2015,47,14,4,50,0,89,9,52,15,1,29,0,1,5,1.9,,,
Marvins Room,2011,107,12,32,73,4,89,13,47,40,0,48,0,1,2,0.931506849,,,
Mary Jane's Last Dance,1994,51,8,27,28,4,72,7,31,23,8,30,0,3,3,0.964285714,,,
Mary's Prayer,1987,71,11,14,54,5,80,8,52,12,0,33,0,16,18,7.666666667,,,
Mary, Did You Know?,2014,53,3,10,32,2,58,2,15,2,0,26,0,2,-1,-1.59375,,
Master Blaster,1980,33,3,9,22,1,45,4,26,12,0,25,0,1,-5,-7.045454545,,,
Masterpiece,1992,50,12,19,42,0,54,2,15,20,0,24,0,4,4,2.285714286,,,
Material Girl,1985,65,15,7,38,0,92,1,33,9,0,55,0,1,2,1.105263158,,,
Maybe I Deserve,2001,139,15,29,135,3,78,36,57,75,5,60,0,5,4,1.540740741,,,
Mayberry,2004,44,10,28,28,5,117,8,39,22,0,35,0,4,-2,-3.071428571,,,
Me & U,2006,106,5,17,104,2,74,5,46,51,0,31,0,10,15,6.346153846,,,
Me (Without You),1981,37,5,2,40,0,25,8,35,11,1,55,0,9,8,4,,,
Me Against The Music,2003,116,11,7,97,1,119,6,47,26,2,90,0,1,38,25.8556701,,,
Me And My Broken Heart,2014,40,11,15,46,2,29,3,9,16,1,19,0,6,15,8.804347826,,,
Me And My Gang,2006,67,18,8,39,4,89,50,45,5,0,28,0,4,13,7.333333333,,,
Me Love,2007,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Me Myself And I,1989,63,19,11,52,9,71,4,22,18,2,18,2,8,19,10.23076923,,,
Me So Horny,1989,92,6,44,150,2,115,11,50,94,0,43,0,6,48,24.64,,,
Me, Myself And I,2004,80,15,26,100,4,58,10,60,22,0,49,0,7,27,10.26,,
Mean,2010,94,28,42,51,1,37,2,36,50,0,39,0,8,13,7.647058824,,,
Meant To Live,2004,67,6,20,29,0,23,13,25,22,0,6,0,1,-15,-22.24137931,,,
Meanwhile,1999,29,10,5,30,1,32,4,18,30,1,17,0,1,8,4.266666667,,,
