@relation lyrics383.small

@attribute song string
@attribute numWords numeric
@attribute distinctWRatio numeric
@attribute word_1 string
@attribute word_2 string
@attribute word_3 string
@attribute word_4 string
@attribute word_5 string
@attribute word_6 string
@attribute word_7 string
@attribute word_8 string
@attribute word_9 string
@attribute word_10 string
@attribute phrase2_1 string
@attribute phrase2_2 string
@attribute phrase2_3 string
@attribute phrase2_4 string
@attribute phrase2_5 string
@attribute phrase2_6 string
@attribute phrase2_7 string
@attribute phrase2_8 string
@attribute phrase2_9 string
@attribute phrase2_10 string
@attribute phrase3_1 string
@attribute phrase3_2 string
@attribute phrase3_3 string
@attribute phrase3_4 string
@attribute phrase3_5 string
@attribute phrase3_6 string
@attribute phrase3_7 string
@attribute phrase3_8 string
@attribute phrase3_9 string
@attribute phrase3_10 string
@attribute pos_verb numeric
@attribute pos_conj numeric
@attribute pos_adj numeric
@attribute pos_pronoun numeric
@attribute pos_number numeric
@attribute pos_noun numeric
@attribute pos_to numeric
@attribute pos_prep numeric
@attribute pos_adv numeric
@attribute pos_interj numeric
@attribute pos_other numeric
@attribute pos_foreign numeric
@attribute pos_wh numeric
@attribute narcScore numeric
@attribute period {early1980s,mid1980s,late1980s,early1990s,mid1990s,late1990s,early2000s,mid2000s,late2000s,early2010s,mid2010s}
@attribute rank {top10,top20,top30,top40,top50,notTop}

@data
"Conqueror",343.0,0.33819241982507287,"ooo","i","a","am","conqueror","you","me","","on","no","ooo ooo","i am","am a","a conqueror","live on","on my","my knees","one thing","thing about","about me","i am a","am a conqueror","ooo ooo ooo","live on my","on my knees","one thing about","thing about me","a conqueror i","conqueror i am","try tellin me",65,11,16,49,4,83,4,42,24,1,41,0,3,763.2112823191433,mid2010s,top50
"Consider Me Gone",188.0,0.601063829787234,"you","me","to","the","i","","not","a","if","we're","consider me","i'm not","you don't","if you","we're looking","if i'm","me a","to something","something deeper","deeper than","if i'm not","consider me a","every time i","time i turn","i turn the","turn the conversation","the conversation to","conversation to something","to something deeper","something deeper than",40,3,8,30,1,31,7,24,16,0,22,0,6,767.9301901536859,late2000s,top40
"Constant Craving",108.0,0.3888888888888889,"always","been","craving","has","constant","maybe","it","to","or","ah","has always","always been","constant craving","craving has","always always","been has","constant constant","been been","craving craving","been craving","craving has always","has always always","always always been","has always been","always been has","been has always","always been been","constant constant craving","constant craving craving","craving craving has",21,3,14,5,0,37,2,2,19,0,5,0,0,768.2004860267315,early1990s,top40
"Constantly",295.0,0.3016949152542373,"you","i","constantly","my","think","the","mind","about","time","and","i think","my mind","think about","on my","about you","constantly constantly","all the","the time","constantly you're","you all","i think about","on my mind","think about you","all the time","about you all","you all the","the time constantly","time constantly you're","constantly you're on","you're on my",43,12,14,62,0,56,3,39,27,2,36,0,1,776.0355662983425,mid1990s,top20
"Contagious",616.0,0.37012987012987014,"me","i","you","my","drive","the","to","and","what","a","drive me","you're contagious","contagious touch","touch me","me baby","baby give","give me","me what","what you","you got","you're contagious touch","contagious touch me","touch me baby","me baby give","baby give me","give me what","me what you","what you got","sexy lady drive","lady drive me",135,15,37,103,4,138,12,50,37,3,66,0,16,795.6796440489434,early2000s,top20
"Control",403.0,0.3250620347394541,"control","i","my","i'm","ooh","to","what","got","now","own","my own","i've got","in control","control now","what i","i'm in","ooh ooh","a lot","now i'm","i'm all","i'm in control","now i'm all","i'm all grown","all grown up","control now i'm","gonna stop control","control to get","to get what","get what i","what i want",87,8,23,60,3,120,6,35,20,0,27,0,14,805.3921001106664,late1980s,top10
"Control Myself",549.0,0.37340619307832423,"to","you","got","myself","it's","hard","control","i","it","the","you got","it's hard","to control","control myself","got you","hard to","myself it's","got what","what it","it takes","to control myself","you got you","got you got","it's hard to","hard to control","control myself it's","myself it's hard","you got what","got what it","what it takes",132,12,25,113,1,91,33,42,46,1,38,3,12,821.7865092748737,mid2000s,top10
"Cool",192.0,0.515625,"we're","i","know","cool","the","and","you","all","now","after","i know","know we're","we're cool","cool i","we've been","after all","that we've","all the","been through","through i","i know we're","know we're cool","we're cool i","cool i know","that we've been","we've been through","been through i","through i know","after all that","all that we've",42,7,16,30,0,31,3,21,21,0,17,0,4,823.5132884777123,mid2000s,top20
"Cool Change",190.0,0.4473684210526316,"the","i","and","it's","a","that","my","time","cool","know","i know","on the","time for","for a","a cool","cool change","my life","that i","know that","that it's","i know that","time for a","for a cool","a cool change","know that it's","that it's time","it's time for","if there's one","there's one thing","one thing in",27,9,18,22,2,37,2,29,11,0,30,0,3,826.8636668905305,early1980s,top10
"Cool For The Summer",347.0,0.23919308357348704,"your","i","for","the","body","just","you","we're","cool","summer","for the","your body","we're cool","cool for","the summer","my mind","you and","and i","me down","be scared","we're cool for","cool for the","for the summer","you and i","take me down","don't be scared","be scared cause","scared cause i'm","cause i'm your","i'm your body",66,9,11,58,2,90,3,53,18,0,33,2,2,831.9706766917293,mid2010s,top20
"Cool It Now",578.0,0.2370242214532872,"it","cool","now","you","to","down","slow","got","is","you're","cool it","it now","it down","slow it","got to","you're gonna","now you","you got","control cool","now oh","cool it now","slow it down","it now you","you got to","now you got","control cool it","it now oh","now oh watch","oh watch out","it down you're",133,13,20,117,2,103,22,62,46,2,44,0,14,836.7973856209151,mid1980s,top10
"Cool Kids",307.0,0.254071661237785,"the","i","cool","kids","like","could","wish","that","be","they","the cool","cool kids","like the","i wish","wish that","that i","i could","could be","be like","kids cause","the cool kids","like the cool","i wish that","wish that i","that i could","i could be","could be like","be like the","cool kids cause","kids cause all",66,7,29,47,0,44,7,44,6,0,55,0,2,835.5156584803032,mid2010s,top20
"Cool Love",211.0,0.3744075829383886,"it's","a","cool","love","kinda","the","it","gonna","and","every","a cool","cool kinda","kinda love","it's a","and every","find out","rain in","in the","the summertime","summertime coming","cool kinda love","it's a cool","a cool kinda","rain in the","in the summertime","the summertime coming","summertime coming down","yeah it's a","cool love baby","love baby that's",30,5,15,15,0,55,3,27,15,2,38,0,6,835.2415836694377,early1980s,top20
"Cool Night",264.0,0.2765151515151515,"you","on","a","cool","night","the","let","me","hold","come","cool night","a cool","let me","me hold","hold you","on over","come on","on a","night just","just let","a cool night","let me hold","me hold you","come on over","on a cool","cool night just","night just let","just let me","hold you by","you by the",52,4,22,36,0,37,3,31,36,0,37,0,6,840.0389002872384,early1980s,top20
"Cool Places",299.0,0.2809364548494983,"i","wanna","go","cool","","now","and","cooler","to","places","i wanna","wanna go","go i","go","i","cooler now","cool cool","cool places","now cooler","places tonight","i wanna go","wanna go i","go i wanna","wanna go","go  i","i wanna","cool cool cool","cooler now cooler","now cooler now","cool places tonight",88,9,18,57,1,45,7,23,21,0,28,0,2,836.5737624571148,early1980s,top50
"Cooler Than Me",580.0,0.23275862068965517,"you","i","your","my","and","that","up","you're","cooler","than","you're cooler","cooler than","than me","and you","you think","you got","that you","think you're","but you","me you","you're cooler than","cooler than me","you think you're","think you're cooler","than me you","me you got","under my arm","and you wear","you wear 'em","wear 'em around",123,26,23,153,0,76,11,72,35,0,52,0,9,850.712384025817,early2010s,top10
"Cop Car",489.0,0.30265848670756645,"i","the","you","were","in","was","we","and","but","","you were","i was","i fell","fell in","in love","love in","in the","the back","back of","of a","i fell in","fell in love","in love in","love in the","in the back","the back of","back of a","of a cop","a cop car","blue lights were",126,25,31,86,2,88,8,57,15,0,49,0,2,848.5659001682558,mid2010s,top50
"Corona And Lime",580.0,0.23448275862068965,"and","you","i","the","love","if","to","like","we","could","we could","could take","take it","it to","to the","the street","lookin for","for love","if you","you lookin","we could take","could take it","take it to","it to the","to the street","lookin for love","if you lookin","you lookin for","let me tell","me tell you",102,35,16,126,0,131,13,61,20,0,68,0,8,855.5136035535814,late2000s,top30
"Cotton Eye Joe",389.0,0.17223650385604114,"where","did","you","come","cotton-eye","been","from","for","joe","if","where did","did you","you come","come from","cotton-eye joe","if it","it hadn't","hadn't been","been for","for cotton-eye","where did you","did you come","you come from","if it hadn't","it hadn't been","hadn't been for","been for cotton-eye","for cotton-eye joe","cotton-eye joe i'd","joe i'd been",125,4,14,54,0,83,2,60,3,0,10,0,34,856.7622620646079,mid1990s,top30
"Could I Have This Dance",167.0,0.3592814371257485,"i","the","my","could","have","this","dance","for","rest","of","could i","i have","have this","this dance","dance for","for the","the rest","rest of","of my","my life?","could i have","i have this","have this dance","this dance for","dance for the","for the rest","the rest of","rest of my","of my life?","my life? would",24,2,6,35,0,33,3,17,14,0,29,0,4,860.4057971014493,early1980s,top40
"Could It Be",554.0,0.33754512635379064,"it","you","the","me","could","be","that","i","tell","my","could it","it be","be the","tell me","a nigga","on the","when you","you tell","got it","me why","could it be","it be the","you tell me","tell me why","it be my","be my chromed","my chromed out","chromed out rims?","out rims? break","rims? break you",110,15,10,130,4,105,5,59,16,7,76,0,17,876.5948074224231,early2000s,top30
"Could It Be Love",220.0,0.2318181818181818,"it","i","but","wonder","feels","me","is","right","could","be","but i","i wonder","is it","right but","true love","love feels","how true","me again","again this","this could","but i wonder","right but i","true love feels","how true love","tell me again","me again this","again this could","this could be","it possibly real?","or is it",68,16,22,52,0,21,0,11,15,0,6,0,9,877.2725578505979,early1980s,top50
"Could This Be Love",239.0,0.4476987447698745,"i","and","the","of","a","love","on","just","why","did","why did","did i","or just","just a","on and","i hide?","real or","a mirage","love is","and i","why did i","or just a","did i hide?","real or just","just a mirage","did i run?","i run? why","run? why did","i hide? because","hide? because the",44,17,10,36,2,47,1,32,14,0,28,0,8,878.5775127768314,early1990s,top20
"Could've Been",145.0,0.6206896551724138,"could've","been","the","what","to","so","i","me","my","of","could've been","been so","what could've","beautiful could've","so right","so beautiful","hold what","been on","on a","a cold","could've been so","what could've been","so beautiful could've","beautiful could've been","been so right","been so beautiful","hold what could've","could've been on","been on a","on a cold",34,2,11,19,0,28,4,15,13,0,12,0,7,880.2938220057217,late1980s,top10
"Couldn't Last A Moment",282.0,0.3049645390070922,"i","you","it","a","make","without","thinking","what","could","moment","without you","i could","make you","girl i","i should've","should've known","known it","it i","i couldn't","couldn't last","girl i should've","i should've known","should've known it","known it i","it i couldn't","i couldn't last","couldn't last a","last a moment","moment without you","walk down the",66,9,11,72,3,34,4,29,15,0,30,0,9,881.1188004613609,early2000s,top50
"Count On Me",296.0,0.2972972972972973,"i","on","me","you","will","be","through","when","count","it","on me","i will","will be","count on","me i","me through","through thick","thick and","and thin","thin a","i will be","count on me","on me i","on me through","me through thick","through thick and","thick and thin","and thin a","thin a friendship","a friendship that",66,7,26,52,0,28,6,33,31,1,33,0,13,885.5627632687448,mid1990s,top10
"Counting Blue Cars",218.0,0.3486238532110092,"i","tell","am","me","on","very","far","the","and","her","tell me","am i","i very","very far","me all","all your","your thoughts","thoughts on","on god?","'cause i","am i very","i very far","tell me all","me all your","all your thoughts","your thoughts on","thoughts on god?","like children often","children often do","many questions like",43,6,7,46,0,37,4,27,27,0,16,0,5,888.1717927192246,mid1990s,top20
"Counting Stars",514.0,0.188715953307393,"the","been","i've","that","be","counting","could","but","we'll","it","i've been","been i've","we'll be","it burn","that money","money watch","watch it","be counting","counting stars","take that","i've been i've","been i've been","that money watch","money watch it","watch it burn","be counting stars","we'll be counting","take that money","it burn sink","burn sink in",153,13,30,43,0,126,0,38,30,1,75,0,5,886.7412140575079,mid2010s,top10
"Country Boy",360.0,0.3194444444444444,"a","you","country","i'm","boy","i","up","can","'cause","my","country boy","a country","i'm a","'cause i'm","take you","i can","in my","and i'll","i'll take","where you","a country boy","i'm a country","'cause i'm a","and i'll take","i'll take you","got a four-wheel","a four-wheel drive","four-wheel drive climb","drive climb in","climb in my",49,12,28,50,1,103,7,47,8,0,48,0,7,891.0015156107911,late2000s,top50
"Country Girl (Shake It For Me)",306.0,0.45098039215686275,"the","it","for","shake","me","in","girl","on","and","you","shake it","it for","for the","for me","girl shake","me girl","come on","in the","on the","and get","shake it for","it for me","girl shake it","for me girl","it for the","me girl shake","you and get","and get to","on come on","country girl shake",46,8,8,43,0,84,8,49,13,0,46,0,1,898.1917063222298,early2010s,top30
"Country Must Be Country Wide",308.0,0.39285714285714285,"and","in","we","country","there's","to","a","from","ain't","hank","there ain't","ain't no","no doubt","doubt in","in my","my mind","playing cash","cash hank","hank willie","willie and","there ain't no","ain't no doubt","no doubt in","doubt in my","in my mind","station playing cash","playing cash hank","cash hank willie","hank willie and","willie and waylon",34,18,17,29,4,111,8,33,11,0,39,0,4,896.6246608381067,early2010s,top50
"Couple Days Off",263.0,0.4714828897338403,"i","a","to","need","don't","the","little","i'm","is","couple","a little","i don't","a couple","couple days","don't need","need a","i need","i'm not","all i","i want","a couple days","i don't need","all i want","i want is","want is a","is a couple","couple days off","for the weekend","soft all i","don't misunderstand me",57,6,21,39,2,52,9,15,18,3,38,0,3,898.6617569700159,early1990s,top20
"Courtesy Of The Red, White And Blue",212.0,0.5943396226415094,"a","the","in","and","he","i","do","to","was","on","in the","you do","or a","i was","his eye","one time","a song","september 11th","my father","americans do","the weekend how","how many americans","many americans do","americans do we","do we have","we have in","have in here","in here tonight?","here tonight? in","tonight? in the",36,10,13,28,3,48,5,26,11,0,25,0,7,897.3450318710161,early2000s,top30
"Cover Girl",289.0,0.28027681660899656,"oh","girl","my","cover","she's","you","i","you're","the","don't","oh oh","cover girl","girl oh","she's my","oh she's","my cover","don't you","you know","know i","you're my","oh oh oh","cover girl oh","girl oh oh","she's my cover","my cover girl","oh oh she's","oh she's my","don't you know","you know i","you know you're",36,4,11,40,0,50,2,12,15,94,23,0,2,906.6865794392525,late1980s,top10
"Cover Me",159.0,0.4779874213836478,"me","cover","the","come","on","and","in","looking","for","a","cover me","come on","and cover","looking for","for a","a lover","lover who","who will","will come","on in","and cover me","looking for a","for a lover","a lover who","lover who will","who will come","will come on","come on in","on in and","in and cover",39,6,8,19,0,26,2,20,13,0,22,0,4,910.216888158877,mid1980s,top10
"Cover Of Love",250.0,0.428,"the","we","and","from","of","cover","love","do","you","why","cover of","of love","from the","the cover","why do","do we","we run","run from","the same","know the","cover of love","from the cover","the cover of","why do we","do we run","we run from","run from the","know the broken","the broken hearted","broken hearted when",66,12,8,37,1,41,2,35,10,0,26,0,12,909.1506961506963,late1980s,top40
"Coward Of The County",416.0,0.47115384615384615,"the","he","to","i","you","was","tommy","him","when","son","he was","if you","a man","have to","when tommy","not to","to do","do the","the things","walk away","not to do","to do the","do the things","walk away from","away from trouble","turn the other","the other cheek","things i've done","i've done walk","done walk away",98,9,25,64,7,92,12,34,25,0,43,0,7,908.8620970729901,early1980s,top10
"Cowboy Casanova",340.0,0.36176470588235293,"you","a","he's","and","run","your","but","he","to","like","like a","you better","better run","run for","for your","your life","but he's","a good","good time","time cowboy","you better run","better run for","run for your","for your life","time cowboy casanova","cowboy casanova leaning","casanova leaning up","leaning up against","up against the","against the record",60,18,22,55,1,76,6,48,19,0,31,0,4,909.9245756457564,late2000s,top20
"Cowboy Take Me Away",247.0,0.3117408906882591,"i","to","you","wanna","me","closer","and","the","it","as","i wanna","closer to","to you","it sounds","good to","to me","you closer","cowboy take","take me","me away","closer to you","good to me","to you closer","you closer to","cowboy take me","take me away","away fly this","fly this girl","this girl as","girl as high",45,10,26,47,1,34,15,22,23,6,18,0,0,915.9343972935206,early2000s,top30
"Cowboys And Angels",152.0,0.42105263157894735,"and","a","her","there's","cowboys","angels","of","is","my","she's","there's a","cowboys and","and angels","me cowboys","and she's","her and","angels we","we ride","ride side","side by","cowboys and angels","me cowboys and","and angels we","angels we ride","we ride side","ride side by","side by side","by side a","side a cloud","a cloud of",14,14,7,18,0,57,0,18,8,0,15,0,1,917.8868894601542,early2010s,top40
"Cowboys Like Us",210.0,0.4,"the","and","we","cowboys","like","us","no","one","to","take","cowboys like","like us","out on","and we","us sure","sure do","do have","have fun","fun racin","racin the","cowboys like us","like us sure","us sure do","sure do have","do have fun","have fun racin","fun racin the","racin the wind","the wind chasin","wind chasin the",31,9,11,16,4,61,5,32,16,0,25,0,0,913.1129044090675,early2000s,top40
"Cowgirls Don't Cry",235.0,0.4978723404255319,"you","she","her","ride","in","don't","gonna","cry","cowgirls","a","don't cry","cowgirls don't","cry ride","ride baby","baby ride","ride lessons","lessons in","in life","in time","know why","cowgirls don't cry","don't cry ride","cry ride baby","ride baby ride","baby ride lessons","ride lessons in","lessons in life","if you fall","you fall get","let him see",57,3,8,36,1,58,2,19,31,0,15,0,5,911.7178605399868,late2000s,top50
"Crack A Bottle",869.0,0.3739930955120829,"the","and","i","of","a","one","got","my","like","you","uh oh","the rubbers?","of them","many of","hit the","us and","on till","till the","the break","break of","on till the","till the break","the break of","so crack a","crack a bottle","a bottle let","bottle let your","let your body","your body waddle","body waddle don't",128,35,39,89,21,247,5,107,55,8,116,0,19,917.2349520209362,late2000s,top10
"Cradle Of Love",367.0,0.2670299727520436,"love","the","of","cradle","yeah","rock","i","you","oh","it","of love","cradle of","the cradle","rock the","yeah yeah","come on","love don't","it's true","love yes","yes the","cradle of love","the cradle of","rock the cradle","yeah yeah yeah","love yes the","of love don't","of love yes","love don't rock","don't rock easily","rock easily it's",49,1,16,37,1,128,6,54,14,10,41,0,10,919.8593489451172,early1990s,top10
"Crank That (Soulja Boy)",239.0,0.3891213389121339,"me","watch","dat","it","crank","boy","soulja","","now","do","watch me","soulja boy","crank dat","dat soulja","now watch","do it","yuuuuuuu crank","me yuuuuuuu","me crank","crank it","dat soulja boy","crank dat soulja","now watch me","watch me yuuuuuuu","me yuuuuuuu crank","yuuuuuuu crank dat","soulja boy now","boy now watch","watch me crank","do it like",53,4,7,48,0,74,5,19,16,0,11,0,2,928.2242612527997,late2000s,top10
"Crash",498.0,0.20682730923694778,"you","me","your","it","up","back","i'm","got","waiting","baby","you got","got it","fast in","in your","your car","drive back","back baby","baby to","to me","me fast","you got it","fast in your","in your car","drive back baby","back baby to","baby to me","to me fast","me fast in","i'm here waiting","here waiting crash",110,7,20,101,0,93,12,62,72,3,17,0,1,936.2876201405825,mid2000s,top50
"Crash And Burn",499.0,0.18837675350701402,"you","and","if","the","to","alone","crash","need","you're","fall","if you","you need","need to","you're not","not alone","to crash","crash then","then crash","crash and","and burn","if you need","you need to","you're not alone","need to crash","to crash then","crash then crash","then crash and","crash and burn","and burn you're","burn you're not",131,25,9,89,7,47,17,49,74,0,45,0,6,944.4319007911055,early2000s,top30
"Crash And Burn",163.0,0.5705521472392638,"i","and","the","","a","i'm","it's","that","sound","you","another lover","lover crash","crash and","and burn","the sound","sound of","i know","a slamming","slamming door","door and","another lover crash","lover crash and","crash and burn","a slamming door","slamming door and","door and a","and a lesson","a lesson learned","lesson learned i","learned i let",38,8,6,19,1,37,1,15,13,0,23,0,2,944.8037010676156,mid2010s,top40
"Crash My Party",232.0,0.5387931034482759,"the","i","you","","can","me","and","on","a","don’t","call me","baby you","you can","i just","i can","me call","have to","i don’t","oh i","ain’t a","baby you can","call me call","me call me","oh i just","the way that","way that you","you can crash","can crash my","crash my party","my party anytime",48,8,9,39,2,46,2,24,11,2,36,0,5,947.7340478387395,early2010s,top20
"Crawling Back To You",213.0,0.4460093896713615,"i","to","you","and","the","","i'm","it's","back","like","and it's","i'm crawling","crawling back","back to","to you","just like","like that","like you","you said","said i","i'm crawling back","crawling back to","back to you","just like that","like you said","then i see","i see your","see your face","your face and","face and it's",43,10,7,36,1,33,11,17,27,1,25,0,2,949.2014867256637,early2010s,top50
"Crazier",214.0,0.42990654205607476,"you","crazier","me","i","and","i'm","make","the","it","your","crazier crazier","you make","make me","me crazier","and i","and you","you made","you lift","lift my","my feet","you make me","make me crazier","me crazier crazier","crazier crazier crazier","lift my feet","my feet off","feet off the","off the ground","spin me around","me around you",54,8,10,53,0,37,4,21,10,2,12,0,3,956.9338411623642,late2000s,top20
"Crazy",18.0,1.0,"our","agreement","does","not","allow","us","to","display","these","lyrics","crazier our","licensing agreement","agreement does","does not","not allow","allow us","us to","to display","display these","these lyrics","crazier crazier our","our licensing agreement","licensing agreement does","agreement does not","does not allow","not allow us","allow us to","us to display","to display these","display these lyrics",4,0,0,2,0,5,1,2,1,0,3,0,0,956.4901269393513,mid1990s,top20
"Crazy",200.0,0.515,"i","you","think","you're","crazy","and","that","me","remember","was","who do","do you","think you're","i remember","you're crazy","make me","does that","you who","that make","i think","who do you","that make me","make me crazy?","does that make","do you who","you who do","i think you're","think you're crazy","i remember when","me crazy? does",46,8,13,44,0,25,2,20,20,0,11,0,11,958.9209786276716,mid2000s,top10
"Crazy",297.0,0.26936026936026936,"be","of","you've","gotta","crazy","your","a","the","well","to","you've gotta","gotta be","yeah you've","be out","out of","of your","your mind","mind crazy","be crazy","crazy baby","you've gotta be","yeah you've gotta","gotta be out","be out of","out of your","of your mind","your mind crazy","gotta be crazy","be crazy baby","mind crazy well",63,3,23,25,1,79,8,44,12,3,35,0,1,959.3436732402273,late1980s,top20
"Crazy",356.0,0.27247191011235955,"crazy","you","i","i'm","going","to","can","see","about","baby","crazy crazy","i'm going","going crazy","i can","about you","can see","see you","just to","if i","crazy i'm","crazy crazy crazy","i'm going crazy","going crazy crazy","i can see","can see you","crazy i'm going","thinkin about you","if i can","when i can","crazy when i",99,6,26,61,0,42,13,36,31,0,32,0,10,960.591754018169,early2000s,top20
"Crazy",353.0,0.34844192634560905,"a","we","never","no","survive","unless","get","little","to","that","survive unless","unless we","a little","we're never","never gonna","little crazy","isn't that","gonna survive","that crazy?","we get","survive unless we","we're never gonna","a little crazy","gonna survive unless","never gonna survive","unless we get","we get a","get a little","isn't that crazy?","little crazy no",64,10,29,31,4,65,9,49,42,2,44,0,4,956.2881249564186,early1990s,top10
"Crazy",412.0,0.33495145631067963,"crazy","me","got","going","you","you've","to","baby","i","my","crazy crazy","got me","me going","going crazy","you've got","crazy baby","crazy for","crazy you've","to the","she rocks","got me going","you've got me","me going crazy","going crazy crazy","crazy crazy crazy","crazy crazy baby","crazy crazy you've","crazy you've got","it to the","crazy for your",95,1,16,88,0,124,12,24,11,1,31,0,9,970.8374800748493,early1990s,top30
"Crazy",242.0,0.39669421487603307,"falling","keep","on","i","love","and","in","the","me","crazy","keep on","on falling","falling keep","i keep","falling in","in love","and i","falling back","back again","again i","keep on falling","on falling keep","falling keep on","i keep on","on falling in","falling in love","and i keep","love falling back","falling back again","back again i",61,12,14,29,0,34,4,42,19,0,24,0,3,971.1112878683083,early1980s,top50
"Crazy About Her",325.0,0.5169230769230769,"her","i","i'm","a","the","in","to","she","about","crazy","crazy about","about her","hey i'm","i'm a","i'm crazy","can't get","i see","see her","a loaded","loaded gun","crazy about her","hey i'm a","i'm crazy about","i see her","i'm a loaded","a loaded gun","loaded gun i'm","gun i'm crazy","about her crazy","her crazy about",57,10,20,51,3,71,6,54,14,5,32,0,2,972.6617961265422,late1980s,top20
"Crazy For This Girl",279.0,0.2867383512544803,"she","i","me","she's","i'm","at","and","the","crazy","for","i'm crazy","crazy for","for this","this girl","don't know","would you","you look","look at","at her?","her? she","i'm crazy for","crazy for this","for this girl","would you look","you look at","look at her?","at her? she","her? she looks","she looks at","looks at me",53,13,9,59,1,40,3,44,14,0,33,0,10,976.3651839648545,early2000s,top20
"Crazy For You",250.0,0.38,"you","crazy","for","i'm","it's","you'll","my","all","the","i","crazy for","for you","i'm crazy","it's all","all brand","brand new","know it's","it's true","you crazy","you'll feel","crazy for you","i'm crazy for","it's all brand","all brand new","know it's true","for you crazy","you crazy for","in my kiss","you'll feel it","feel it in",35,6,29,41,4,46,5,42,19,0,21,0,2,981.3694982545007,mid1980s,top10
"Crazy Girl",224.0,0.33035714285714285,"you","i","crazy","girl","love","like","have","that","wouldn't","know","crazy girl","i love","like crazy","that i","know that","don't you","you know","love you?","you? and","and i","know that i","crazy girl don't","girl don't you","don't you know","you know that","that i love","i love you?","love you? and","you? and i","and i wouldn't",64,6,8,51,1,38,1,19,26,0,8,0,2,984.9658935879945,early2010s,top30
"Crazy In Love",535.0,0.39626168224299063,"oh","me","the","i","got","so","crazy","no","uh","you","got me","uh oh","so crazy","me looking","looking so","oh uh","right now","oh no","crazy right","oh oh","got me looking","looking so crazy","uh oh uh","oh uh oh","me looking so","so crazy right","crazy right now","right now your","uh oh oh","oh oh no",99,12,40,76,4,103,11,41,51,29,57,0,12,995.65302660152,early2000s,top10
"Crazy In The Night (Barking At Airplanes)",335.0,0.29850746268656714,"the","in","i","she","to","going","crazy","night","do","what","in the","going crazy","crazy in","the night","what can","do to","to keep","keep from","from going","but then","going crazy in","crazy in the","in the night","do to keep","to keep from","keep from going","from going crazy","but then again","might what can","what can i",70,12,8,48,0,45,14,38,35,0,53,0,12,995.2743506493507,mid1980s,top20
"Crazy Kids",303.0,0.4884488448844885,"we","the","are","crazy","and","your","","my","a","you","we are","are we","are the","in the","the crazy","and we","keep your","crazy kids","hard we","don't give","we are we","are we are","we are the","are the crazy","and we are","the crazy kids","like an earthquake","on the dance","the dance floor","you dancing on",64,11,13,58,2,73,1,22,11,3,41,0,4,988.9591025468267,early2010s,top40
"Crazy Little Thing Called Love",18.0,1.0,"our","agreement","does","not","allow","us","to","display","these","lyrics","dark our","licensing agreement","agreement does","does not","not allow","allow us","us to","to display","display these","these lyrics","the dark our","our licensing agreement","licensing agreement does","agreement does not","does not allow","not allow us","allow us to","us to display","to display these","display these lyrics",4,0,0,2,0,5,1,2,1,0,3,0,0,988.5165723524656,early1980s,top10
"Crazy Love",234.0,0.37606837606837606,"love","she","me","i","and","her","crazy","gives","my","when","love love","me love","she gives","gives me","love crazy","crazy love","i need","love she","in the","yes i","love love love","she gives me","me love love","love love crazy","love crazy love","gives me love","crazy love she","yes i need","when i come","take away my",40,7,36,50,2,42,5,15,11,2,16,0,8,996.0145024842218,mid1990s,top50
"Cream",232.0,0.3448275862068966,"you","cream","the","it","so","boogie","don't","you're","sha","bop","don't you","cream sha","sha boogie","boogie bop","know it","you will","it's your","you're so","you know","cream don't","cream sha boogie","sha boogie bop","you know it","cream don't you","stop cream sha","on top cream","top cream you","cream you will","you will cop","will cop cream",48,2,14,38,0,64,2,14,21,0,26,0,3,996.849986605947,early1990s,top10
"Creep",165.0,0.3878787878787879,"i","a","i'm","special","you","want","run","the","don't","here","i'm a","i don't","run run","i want","don't belong","belong here","fucking special","i wish","wish i","i was","i don't belong","don't belong here","so fucking special","i wish i","wish i was","i was special","special but i'm","but i'm a","i'm a creep","a creep i'm",40,3,13,31,0,23,2,15,14,0,17,0,7,996.1171556506049,early1990s,top40
"Creep",423.0,0.28368794326241137,"i","oh","creep","yeah","so","the","know","and","to","it","oh i","i oh","i creep","so i","creep yeah","i yeah","creep oh","yeah so","need some","oh so","oh i oh","i oh i","so i creep","i creep yeah","oh i yeah","creep oh i","i yeah so","yeah so i","oh so i","creep yeah just",82,13,9,75,1,61,9,43,31,45,50,0,4,996.2012900651681,mid1990s,top10
"Criminal",326.0,0.3773006134969325,"to","i","a","the","i've","me","and","need","i'm","what","i need","and i","what i","need is","is a","a good","good defense","defense 'cause","'cause i'm","i'm feelin","what i need","i need is","need is a","is a good","a good defense","good defense 'cause","defense 'cause i'm","'cause i'm feelin","i'm feelin like","feelin like a",72,11,20,48,4,52,21,29,13,0,48,0,8,1000.6549118387909,late1990s,top30
"Crimson And Clover",82.0,0.43902439024390244,"and","over","crimson","clover","i","now","her","ah","my","a","crimson and","and clover","clover over","over and","and over","over crimson","ah now","her crimson","i think","think i","crimson and clover","and clover over","clover over and","over and over","and over crimson","over crimson and","her crimson and","her but i","but i think","i think i",17,14,3,9,0,12,1,13,7,0,4,0,2,1000.6577012255713,early1980s,top10
